,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|27112|3|1,1,ἐρωτῶ,ἐρωτάω,v1spia---,PRED_CO
1,Leuven|27112|3|2,2,σε,σύ,p2s---ca-,SBJ
2,Leuven|27112|3|3,3,γράψαι,γράφω,v--ana---,OBJ
3,Leuven|27112|3|4,4,μοι,ἐγώ,p1s---cd-,OBJ
4,Leuven|27112|3|5,5,καὶ,καί,c--------,COORD
5,Leuven|27112|3|6,6,οἱ,ὁ,l-p---mn-,ATR
6,Leuven|27112|3|7,7,θεοί,θεός,n-p---mn-,SBJ
7,Leuven|27112|3|8,8,σε,σύ,p2s---ca-,OBJ
8,Leuven|27112|3|9,9,τὸ,ὁ,l-s---na-,ATR
9,Leuven|27112|3|10,10,αὐτὸ,αὐτός,p-s---na-,OBJ
10,Leuven|27112|3|11,11,ἐρωτῶσι,ἐρωτάω,v3ppia---,PRED_CO
