,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|1728|4|1,1,ἀλλʼ,ἀλλά,c--------,AuxY
1,Leuven|1728|4|2,2,ἐπιπαραγενόμενος,ἐπιπαραγίγνομαι,v-sapmmn-,ADV
2,Leuven|1728|4|3,3,Ὀλυμπιχὸς,Ὀλυμπιχός,n-s---mn-,SBJ
3,Leuven|1728|4|4,4,ἔφη,φημί,v3siia---,PRED_CO
4,Leuven|1728|4|5,5,αὐτὸν,αὐτός,p-s---ma-,OBJ
5,Leuven|1728|4|6,6,τύπτων,τύπτω,v-sppamn-,ADV
6,Leuven|1728|4|7,7,σαπρὸν,σαπρός,a-s---na-,ADV
7,Leuven|1728|4|8,8,ποιήσειν,ποιέω,v--fna---,OBJ
8,Leuven|1728|4|9,9,ἢ,ἤ,c--------,COORD
9,Leuven|1728|4|10,10,πεποίηκεν,ποιέω,v3sria---,PRED_CO
10,Leuven|1728|4|11,11,ὃς,ὅς,p-s---mn-,SBJ
11,Leuven|1728|4|12,12,ἤδη,ἤδη,d--------,ADV
12,Leuven|1728|4|13,13,σχεδὸν,σχεδόν,d--------,ADV
13,Leuven|1728|4|14,14,ἦν,εἰμί,v3siia---,OBJ
14,Leuven|1728|4|15,15,εὐπρεπής,εὐπρεπής,a-s---mn-,PNOM
