,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|21342|5|1,1,γινώσκειν,γιγνώσκω,v--pna---,OBJ
1,Leuven|21342|5|2,2,σε,σύ,p2s---ca-,SBJ
2,Leuven|21342|5|3,3,θέλω,ἐθέλω,v1spia---,PRED
3,Leuven|21342|5|4,4,ὅτι,ὅτι,c--------,AuxC
4,Leuven|21342|5|5,5,ἐγεννήθη,γεννάω,v3saip---,OBJ
5,Leuven|21342|5|6,6,μοι,ἐγώ,p1s---cd-,OBJ
6,Leuven|21342|5|7,7,ἄλλο,ἄλλος,p-s---nn-,ATR
7,Leuven|21342|5|8,8,παιδίον,παιδίον,n-s---nn-,SBJ
8,Leuven|21342|5|9,9,ἄρσεν,ἄρσην,a-s---nn-,ATR
9,Leuven|21342|5|10,10,ᾧ,ὅς,p-s---nd-,ADV
10,Leuven|21342|5|11,11,ὄνομα,ὄνομα,n-s---na-,SBJ
11,Leuven|21342|5|12,12,Ἀγαθὸς,Ἀγαθός,n-s---mn-,PNOM
12,Leuven|21342|5|13,13,Δαίμων,Δαίμων,n-s---mn-,APOS
13,Leuven|21342|5|14,14,θεῶν,θεός,n-p---mg-,SBJ
14,Leuven|21342|5|15,15,θελόντων,ἐθέλω,v-pppamg-,ADV
