,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|80117|1|1,1,Βιῆγχις,Βιῆνχις,n-s---mn-,SBJ
1,Leuven|80117|1|2,2,Ταπᾶτι,Ταπᾶτι,n-s---fd-,OBJ_CO
2,Leuven|80117|1|3,3,τῇ,ὁ,l-s---fd-,ATR
3,Leuven|80117|1|4,4,μητρί,μήτηρ,n-s---fd-,APOS
4,Leuven|80117|1|5,5,πολλά,πολύς,a-p---na-,ADV
5,Leuven|80117|1|6,6,χαίρειν,χαίρω,v--pna---,OBJ
6,Leuven|80117|1|7,7,καί,καί,c--------,COORD
7,Leuven|80117|1|8,8,τοῖς,ὁ,l-p---md-,ATR
8,Leuven|80117|1|9,9,ἀδελφοῖς,ἀδελφός,n-p---md-,OBJ_CO
9,Leuven|80117|1|10,10,καί,καί,c--------,COORD
10,Leuven|80117|1|11,11,Σεραπίωνος,Σεραπίων,n-s---mg-,ATR_CO
11,Leuven|80117|1|12,12,τοῦ,ὁ,l-s---mg-,ATR
12,Leuven|80117|1|13,13,ἐπιστάτου,ἐπιστάτης,n-s---mg-,APOS
13,Leuven|80117|1|14,14,μου,ἐγώ,p1s---cg-,ATR
14,Leuven|80117|1|15,15,τό,ὁ,l-s---na-,ATR
15,Leuven|80117|1|16,16,προσκύνημα,προσκύνημα,n-s---na-,OBJ
16,Leuven|80117|1|17,17,καί,καί,c--------,COORD
17,Leuven|80117|1|18,18,τῶν,ὁ,l-p---mg-,ATR_CO
18,Leuven|80117|1|19,19,παῤ,παρά,r--------,AuxP
19,Leuven|80117|1|20,20,αὐτῷ,αὐτός,p-s---md-,ATR
20,Leuven|80117|1|21,21,ποιῶ,ποιέω,v1spia---,PRED_CO
