;form;lemmi_relation;lemmi_definitivo
2;τῶν;['nan', 'ὁ', 'ὅς'];['ὁ']
4;,;[',', 'nan', 'punc1', '·', 'ἒ'];['punc']
8;οὔ;['nan', 'οὐ', 'οὐκ', 'οὔ', 'οὔτε'];['οὐ']
9;-τε;['-τε', 'οὔτε', 'τε'];['τε']
10;γραφὴν;['γραφή', 'γραφής'];['γραφή']
12;-τ᾽;['-τε', 'οὔτε', 'τε'];['τε']
13;ἐν;['εἰς', 'ἐν'];['ἐν']
16;ἀλλ᾽;['ἀλλά', 'ἀλλ᾽'];['ἀλλά']
17;ὡς;['ὡς', 'ὥς'];['ὡς']
27;δὲ;['δέ', 'δὲ', 'οὐδέ'];['δέ']
28;τήν;['ὁ', 'ὅς'];['ὁ']
37;παρὰ;['παρά', 'πηρά'];['παρά']
38;τοὺς;['ὁ', 'ὅ', 'ὅς'];['ὁ']
40;καὶ;['καί', 'καὶ'];['καί']
42;ἰδίᾳ;['ἰδίᾳ', 'ἴδιος'];['ἴδιος']
44;(;['(', 'nan', 'punc1', '̔', '（'];['(', 'punc', '̔', '（']
47;προϊόντος;['πρόειμι1', 'πρόειμι2'];['πρόειμι']
49;τοῦ;['τις', 'τὁ', 'ὀ', 'ὁ', 'ὁς', 'ὅς'];['ὁ']
50;λόγου;['λογόω', 'λόγος'];['λόγος']
51;);[')', 'nan', 'punc1', '̓', '）'];[')', 'punc', '̓', '）']
57;μὴ;['nan', 'μή', 'μὴ'];['μή']
59;τῇ;['τῇ', 'ὁ', 'ὁς', 'ὅς'];['ὁ']
66;:;['nan', 'punc1', 'ἒ'];['punc', 'ἒ']
67;εἰδὼς;['εἰδοί', 'οἶδα'];['οἶδα']
68;δ᾽;['δέ', 'δ᾽'];['δέ']
71;ὄντα;['εἰμί', 'εἴμι', 'ὄντα'];['εἰμί']
80;τὴν;['ὁ', 'ὅς'];['ὁ']
83;.;['.', 'nan', 'punc1', 'punct1', 'ἒ'];['punc']
88;πᾶσιν;['πάν', 'πᾶς', 'πᾶσις'];['πᾶς']
95;ἀπεῖπε;['ἀπεῖπον'];['ἀπολέγω']
96;λέγειν;['λέγω', 'λέγω1', 'λέγω2', 'λέγω3'];['λέγω']
97;";";"[';', 'punc1']";['punc']
98;ἢ;['ἢ', 'ἤ', 'ἤ1', 'ἤ2'];['ἤ']
99;τὰς;['ὁ', 'ὅς'];['ὁ']
104;ἂν;['εἄν', 'ἀν', 'ἄν', 'ἄν1', 'ἄν2', 'ἐάν'];['ἄν', 'ἐάν']
109;λέγων;['λέγω', 'λέγω2', 'λέγω3'];['λέγω']
110;τί;['τίς', 'τις'];['τις']
112;ποτε;['ποτέ'];['ποτε']
116;τὰ;['τίς', 'ὁ', 'ὁς', 'ὃς', 'ὅς'];['ὁ']
119;διὰ;['διά', 'διὰ'];['διά']
133;τὸν;['τὸν', 'ὁ', 'ὁς', 'ὅς'];['ὁ']
134;τὸ;['ὁ', 'ὅς'];['ὁ']
141;τῆς;['ὁ', 'ὅς'];['ὁ']
144;ἡγήσατο;['ἁγέομαι', 'ἡγέομαι'];['ἡγέομαι']
149;ὧν;['οὖν', 'οὗν', 'ὅς'];['ὅς']
161;τ᾽;['σύ', 'τέ', 'τε', 'τ᾽'];['τε']
162;τῷ;['τίς', 'τις', 'ὁ', 'ὅς'];['ὁ']
165;μὲν;['μέν', 'μὲν'];['μέν']
167;δημοσίᾳ;['δημοσίᾳ', 'δημόσιος'];['δημόσιος']
169;οὐ;['οὐ', 'οὐδέ', 'οὐκ'];['οὐ']
170;-δ᾽;['-δέ', 'δέ', 'μηδέ', 'οὐδέ'];['δέ']
172;δεῖν;['δέω', 'δέω1', 'δέω2', 'δεῖ'];['δέω']
177;λόγων;['λογός', 'λόγος'];['λόγος']
179;βίου;['βίος', 'βιός'];['βίος']
186;πόλεις;['πολίς', 'πόλις', 'πόόλις'];['πόλις']
194;ἁπλῶς;['ἁπλόος', 'ἁπλός', 'ἁπλώς', 'ἁπλῶς'];['ἁπλόος']
195;ῥηθῇ;['ἐρῶ'];['λέγω']
197;λεγόμενα;['λέγω3'];['λέγω']
202;κεχρημένου;['χράω2'];['χράω']
209;λεχθῇ;['λέγω3'];['λέγω']
222;μόνον;['μόνον', 'μόνος'];['μόνος']
223;λέγῃ;['λέγω3'];['λέγω']
224;ἀλλὰ;['ἀλλά', 'ἀλλὰ'];['ἀλλά']
231;πόλις;['πόλις', 'πόόλις'];['πόλις']
234;Ἀθηναίων;['Ἀθήναια', 'Ἀθήναιον', 'Ἀθήναιος', 'Ἀθηναῖος'];['Ἀθηναῖος']
239;ἤδη;['ἠδή', 'ἤδη', 'ἦδη'];['ἤδη']
246;κατὰ;['κατά', 'κατὰ'];['κατά']
250;πάλαι;['πάλα', 'πάλαι'];['πάλαι']
256;μετὰ;['μετά', 'μετὰ'];['μετά']
259;ὃ;['ὁ', 'ὁς', 'ὅς'];['ὁ', 'ὅς']
265;καθ᾽;['καθά', 'κατά'];['κατά']
284;-δὲ;['-δέ', 'δέ', 'δὲ', 'μηδέ', 'οδέ', 'οὐδέ'];['δέ']
287;ἡμᾶς;['ἐγώ', 'ἔγω'];['ἐγώ']
300;ὅτι;['ὅστις', 'ὅτι', 'ὅτι1', 'ὅτι2', 'ὅτι3'];['ὅτι']
304;οἱ;['οὗ', 'ἕ', 'ὀ', 'ὁ'];['ἕ', 'ὁ']
306;σῴζουσι;['σώζω'];['σῴζω']
316;μόνως;['μόνος', 'μόνως'];['μόνος']
338;ζῆν;['ζάω', 'ζέω'];['ζάω']
342;βουλῇ;['βουλή', 'βουλεύς'];['βουλή']
348;αὐτοῦ;['αὐτοός', 'αὐτοῦ', 'αὐτός'];['αὐτός']
358;του;['τις', 'ὁ'];['τις']
369;δραχμῶν;['δραχμή', 'δραχμός'];['δραχμή']
374;πλέονος;['πλείων'];['πολύς']
382;πρώτην;['πρότερος', 'πρῶτος'];['πρῶτος']
384;ἐξίωσιν;['ἔξεστι'];['ἔξειμι']
389;ψηφιζομένων;['ψηφίζομαι'];['ψηφίζω']
394;δοκοῦσιν;['δοκέω', 'δοκόω'];['δοκέω']
402;χειρῶν;['χείρ', 'χειρόω'];['χειρόω']
409;λέγοντας;['λέγω', 'λέγω3'];['λέγω']
413;ἐστιν;['nan', 'εἰμί'];['εἰμί']
419;ἀφιῆτε;['ἀφίζω'];['ἀφίημι']
424;ἐπειδὴ;['ἐπεί', 'ἐπειδή', 'ἐπειδὴ'];['ἐπειδή']
425;εἴρηκα;['λέγω', 'ἐρῶ'];['λέγω']
434;δέομαι;['δέομαι', 'δέω', 'δέω2'];['δέω']
440;καλῶν;['κάλη', 'κήλη', 'καλέω', 'καλος', 'καλός'];['καλέω', 'καλός']
445;εἰπεῖν;['εἶπον', 'λέγω'];['λέγω']
446;ὅ;['ὁ', 'ὁς', 'ὅς'];['ὁ', 'ὅς']
452;εἴ;['εἰ', 'εἴ'];['εἰ']
454;εἴποιμι;['εἶπον'];['λέγω']
