@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|292|1,1,πολὺ,πολύς,a-s---na-,ADV
Leuven|0032-002|292|2,2,νὴ,νή,r--------,AuxZ
Leuven|0032-002|292|3,3,Δία,Ζεύς,n-s---ma-,ExD
Leuven|0032-002|292|4,4,οἱ,ὁ,l-p---mn-,ATR
Leuven|0032-002|292|5,5,ζῷα,ζῷον,n-p---na-,OBJ
Leuven|0032-002|292|6,6,",",",",u--------,AuxX
Leuven|0032-002|292|7,7,εἴπερ,εἴπερ,c--------,AuxC
Leuven|0032-002|292|8,8,γε,γε,d--------,AuxZ
Leuven|0032-002|292|9,9,μὴ,μή,d--------,AuxZ
Leuven|0032-002|292|10,10,τύχῃ,τύχη,n-s---fd-,OBJ
Leuven|0032-002|292|11,11,τινί,τις,p-s---cd-,ATR
Leuven|0032-002|292|12,12,",",",",u--------,AuxX
Leuven|0032-002|292|13,13,ἀλλ’,ἀλλά,c--------,COORD
Leuven|0032-002|292|14,14,ὑπὸ,ὑπό,r--------,AuxP
Leuven|0032-002|292|15,15,γνώμης,γνώμη,n-s---fg-,OBJ_CO
Leuven|0032-002|292|16,16,ταῦτα,οὗτος,p-p---nn-,SBJ
Leuven|0032-002|292|17,17,γίγνεται,γίγνομαι,v3spie---,ADV
Leuven|0032-002|292|18,18,.,.,u--------,AuxK
"""""",19,[0],"""""","""""",PRED
"""""",20,[1],"""""","""""",PRED
