@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|28|1,1,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|28|2,2,δὲ,δέ,d--------,AuxY
Leuven|0032-002|28|3,3,μηδὲν,μηδείς,p-s---na-,SBJ
Leuven|0032-002|28|4,4,τῶν,ὁ,l-p---ng-,ATR
Leuven|0032-002|28|5,5,τοιούτων,τοιοῦτος,p-p---ng-,ATR
Leuven|0032-002|28|6,6,οἰομένους,οἴομαι,v-pppema-,SBJ
Leuven|0032-002|28|7,7,εἶναι,εἰμί,v--pna---,OBJ_CO
Leuven|0032-002|28|8,8,δαιμόνιον,δαιμόνιον,n-s---na-,PNOM
Leuven|0032-002|28|9,9,",",",",u--------,AuxX
Leuven|0032-002|28|10,10,ἀλλὰ,ἀλλά,c--------,COORD
Leuven|0032-002|28|11,11,πάντα,πᾶς,a-p---na-,SBJ
Leuven|0032-002|28|12,12,τῆς,ὁ,l-s---fg-,ATR
Leuven|0032-002|28|13,13,ἀνθρωπίνης,ἀνθρώπινος,a-s---fg-,ATR
Leuven|0032-002|28|14,14,γνώμης,γνώμη,n-s---fg-,PNOM
Leuven|0032-002|28|15,15,",",",",u--------,AuxX
Leuven|0032-002|28|16,16,δαιμονᾶν,δαιμονάω,v--pna---,OBJ
Leuven|0032-002|28|17,17,ἔφη,φημί,v3siia---,PRED
Leuven|0032-002|28|18,18,·,·,u--------,AuxK
"""""",19,[0],"""""","""""",PRED
