@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|111|1,1,πάντα,πᾶς,a-p---nn-,ATR
Leuven|0032-002|111|2,2,μὲν,μέν,d--------,AuxY
Leuven|0032-002|111|3,3,οὖν,οὖν,d--------,AuxY
Leuven|0032-002|111|4,4,ἔμοιγε,ἐγώ,p1s---cd-,OBJ
Leuven|0032-002|111|5,5,δοκεῖ,δοκέω,v3spia---,PRED
Leuven|0032-002|111|6,6,τὰ,ὁ,l-p---nn-,ATR
Leuven|0032-002|111|7,7,καλὰ,καλός,a-p---nn_,SBJ_CO
Leuven|0032-002|111|8,8,καὶ,καί,c--------,COORD
Leuven|0032-002|111|9,9,τἀγαθὰ,ἀγαθός,a-p---nn-,SBJ_CO
Leuven|0032-002|111|10,10,ἀσκητὰ,ἀσκητός,a-p---nn-,PNOM
Leuven|0032-002|111|11,11,εἶναι,εἰμί,v--pna---,SBJ_CO
Leuven|0032-002|111|12,12,",",",",u--------,AuxX
Leuven|0032-002|111|13,13,οὐχ,οὐ,d--------,AuxZ
Leuven|0032-002|111|14,14,ἥκιστα,ἦκα,a-p---nas,ADV
Leuven|0032-002|111|15,15,δὲ,δέ,d--------,COORD
Leuven|0032-002|111|16,16,σωφροσύνη,σωφροσύνη,n-s---fn-,SBJ
Leuven|0032-002|111|17,17,.,.,u--------,AuxK
Leuven|0032-002|111|18,18,.,.,u--------,AuxK
"""""",19,[0],"""""","""""",PRED
