@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|207|1,1,Σωκράτης,Σωκράτης,n-s---mn-,SBJ
Leuven|0032-002|207|2,2,δ’,δέ,d--------,AuxY
Leuven|0032-002|207|3,3,ἐπεὶ,ἐπεί,c--------,AuxC
Leuven|0032-002|207|4,4,διομολογήσαιτο,διομολογέω,v3saom---,ADV
Leuven|0032-002|207|5,5,τὸ,ὁ,l-s---na-,ATR
Leuven|0032-002|207|6,6,μὲν,μέν,d--------,AuxY
Leuven|0032-002|207|7,7,ἐργάτην,ἐργάτης,n-s---ma-,PNOM
Leuven|0032-002|207|8,8,εἶναι,εἰμί,v--pna---,SBJ
Leuven|0032-002|207|9,9,ὠφέλιμόν,ὠφέλιμος,a-s---na-,PNOM_CO
Leuven|0032-002|207|10,10,τε,τε,c--------,AuxY
Leuven|0032-002|207|11,11,ἀνθρώπῳ,ἄνθρωπος,n-s---md-,ADV
Leuven|0032-002|207|12,12,καὶ,καί,c--------,COORD
Leuven|0032-002|207|13,13,ἀγαθὸν,ἀγαθός,a-s---na-,PNOM_CO
Leuven|0032-002|207|14,14,εἶναι,εἰμί,v--pna---,OBJ_CO
Leuven|0032-002|207|15,15,",",",",u--------,AuxX
Leuven|0032-002|207|16,16,τὸ,ὁ,l-s---na-,ATR
Leuven|0032-002|207|17,17,δὲ,δέ,d--------,COORD_CO
Leuven|0032-002|207|18,18,ἀργὸν,ἀργός1,a-s---ma-,PNOM
Leuven|0032-002|207|19,19,βλαβερόν,βλαβερός,a-s---na-,PNOM_CO
Leuven|0032-002|207|20,20,τε,τε,c--------,AuxY
Leuven|0032-002|207|21,21,καὶ,καί,c--------,COORD
Leuven|0032-002|207|22,22,κακόν,κακός,a-s---na-,PNOM_CO
Leuven|0032-002|207|23,23,",",",",u--------,AuxX
Leuven|0032-002|207|24,24,καὶ,καί,c--------,COORD
Leuven|0032-002|207|25,25,τὸ,ὁ,l-s---na-,ATR
Leuven|0032-002|207|26,26,μὲν,μέν,d--------,AuxY
Leuven|0032-002|207|27,27,ἐργάζεσθαι,ἐργάζομαι,v--pne---,SBJ
Leuven|0032-002|207|28,28,ἀγαθόν,ἀγαθός,a-s---na-,PNOM
Leuven|0032-002|207|29,29,",",",",u--------,AuxX
Leuven|0032-002|207|30,30,τὸ,ὁ,l-s---na-,ATR
Leuven|0032-002|207|31,31,δ’,δέ,d--------,COORD_CO
Leuven|0032-002|207|32,32,ἀργεῖν,ἀργέω,v--pna---,SBJ
Leuven|0032-002|207|33,33,κακόν,κακός,a-s---na-,PNOM
Leuven|0032-002|207|34,34,",",",",u--------,AuxX
Leuven|0032-002|207|35,35,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|207|36,36,μὲν,μέν,d--------,AuxY
Leuven|0032-002|207|37,37,ἀγαθόν,ἀγαθός,a-s---na-,ATR
Leuven|0032-002|207|38,38,τι,τις,p-s---na-,OBJ
Leuven|0032-002|207|39,39,ποιοῦντας,ποιέω,v-pppama-,SBJ
Leuven|0032-002|207|40,40,ἐργάζεσθαί,ἐργάζομαι,v--pne---,OBJ_CO
Leuven|0032-002|207|41,41,τε,τε,c--------,AuxY
Leuven|0032-002|207|42,42,ἔφη,φημί,v3siia---,PRED_CO
Leuven|0032-002|207|43,43,καὶ,καί,c--------,COORD
Leuven|0032-002|207|44,44,ἐργάτας,ἐργάτης,n-p---ma-,PNOM
Leuven|0032-002|207|45,45,ἀγαθοὺς,ἀγαθός,a-p---ma-,ATR
Leuven|0032-002|207|46,46,εἶναι,εἰμί,v--pna---,OBJ_CO
Leuven|0032-002|207|47,47,",",",",u--------,AuxX
Leuven|0032-002|207|48,48,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|207|49,49,δὲ,δέ,d--------,COORD
Leuven|0032-002|207|50,50,κυβεύοντας,κυβεύω,v-pppama-,OBJ_CO
Leuven|0032-002|207|51,51,ἤ,ἤ,c--------,COORD
Leuven|0032-002|207|52,52,τι,τις,p-s---na-,OBJ
Leuven|0032-002|207|53,53,ἄλλο,ἄλλος,p-s---na-,ATR
Leuven|0032-002|207|54,54,πονηρὸν,πονηρός,a-s---na-,ATR_CO
Leuven|0032-002|207|55,55,καὶ,καί,c--------,COORD
Leuven|0032-002|207|56,56,ἐπιζήμιον,ἐπιζήμιος,a-s---na-,ATR_CO
Leuven|0032-002|207|57,57,ποιοῦντας,ποιέω,v-pppama-,OBJ_CO
Leuven|0032-002|207|58,58,ἀργοὺς,ἀργός,a-p---ma-,OCOMP
Leuven|0032-002|207|59,59,ἀπεκάλει,ἀποκαλέω,v3siia---,PRED_CO
Leuven|0032-002|207|60,60,.,.,u--------,AuxK
"""""",61,[1],"""""","""""",PRED
"""""",62,[2],"""""","""""",PRED
"""""",63,[3],"""""","""""",PRED
"""""",64,[5],"""""","""""",PRED
