@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|205|1,1,ἔφη,φημί,v3siia---,PRED
Leuven|0032-002|205|2,2,δ’,δέ,d--------,AuxY
Leuven|0032-002|205|3,3,αὐτὸν,αὐτός,p-s---ma-,SBJ
Leuven|0032-002|205|4,4,ὁ,ὁ,l-s---mn-,ATR
Leuven|0032-002|205|5,5,κατήγορος,κατήγορος,n-s---mn-,SBJ
Leuven|0032-002|205|6,6,καὶ,καί,c--------,COORD
Leuven|0032-002|205|7,7,τῶν,ὁ,l-p---mg-,ATR
Leuven|0032-002|205|8,8,ἐνδοξοτάτων,ἔνδοξος,a-p---mgs,ATR
Leuven|0032-002|205|9,9,ποιητῶν,ποιητής,n-p---mg-,ATR
Leuven|0032-002|205|10,10,ἐκλεγόμενον,ἐκλέγω,v-sppema-,ADV_CO
Leuven|0032-002|205|11,11,τὰ,ὁ,l-p---na-,ATR
Leuven|0032-002|205|12,12,πονηρότατα,πονηρός,a-p---nas,OBJ
Leuven|0032-002|205|13,13,καὶ,καί,c--------,COORD
Leuven|0032-002|205|14,14,τούτοις,οὗτος,p-p---nd-,OBJ
Leuven|0032-002|205|15,15,μαρτυρίοις,μαρτύριον,n-p---nd-,OCOMP
Leuven|0032-002|205|16,16,χρώμενον,χράω,v-sppema-,ADV_CO
Leuven|0032-002|205|17,17,διδάσκειν,διδάσκω,v--pna---,OBJ
Leuven|0032-002|205|18,18,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|205|19,19,συνόντας,σύνειμι,v-pppama-,OBJ
Leuven|0032-002|205|20,20,κακούργους,κακοῦργος,a-p---ma-,PNOM_CO
Leuven|0032-002|205|21,21,τε,τε,c--------,AuxY
Leuven|0032-002|205|22,22,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0032-002|205|23,23,καὶ,καί,c--------,COORD
Leuven|0032-002|205|24,24,τυραννικούς,τυραννικός,a-p---ma-,PNOM_CO
Leuven|0032-002|205|25,25,",",",",u--------,AuxX
Leuven|0032-002|205|26,26,Ἡσιόδου,Ἡσίοδος,n-s---mg-,ATR
Leuven|0032-002|205|27,27,μὲν,μέν,d--------,AuxY
Leuven|0032-002|205|28,28,τὸ,ὁ,l-s---na-,ATR
Leuven|0032-002|205|29,29,ἔργον,ἔργον,n-s---nn-,SBJ
Leuven|0032-002|205|30,30,δ’,δέ,d--------,AuxY
Leuven|0032-002|205|31,31,οὐδὲν,οὐδείς,p-s---nn-,ATR
Leuven|0032-002|205|32,32,ὄνειδος,ὄνειδος,n-s---nn-,PNOM
Leuven|0032-002|205|33,33,",",",",u--------,AuxX
Leuven|0032-002|205|34,34,ἀεργίη,ἀεργία,n-s---fn-,SBJ
Leuven|0032-002|205|35,35,δέ,δέ,d--------,COORD
Leuven|0032-002|205|36,36,τ’,τε,c--------,AuxY
Leuven|0032-002|205|37,37,ὄνειδος,ὄνειδος,n-s---nn-,PNOM
Leuven|0032-002|205|38,38,·,·,u--------,AuxK
Leuven|0032-002|205|39,39,[0],"""""","""""",ExD
"""""",40,[1],"""""","""""",PRED
"""""",41,[2],"""""","""""",PRED
