@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|164|1,1,ὡς,ὡς,c--------,AuxC
Leuven|0032-002|164|2,2,ἐγὼ,ἐγώ,p1s---cn-,SBJ
Leuven|0032-002|164|3,3,ἀκούων,ἀκούω,v-sppamn-,ADV
Leuven|0032-002|164|4,4,τινῶν,τις,p-p---cg-,SBJ
Leuven|0032-002|164|5,5,ἐπαινουμένων,ἐπαινέω,v-pppemg-,OBJ
Leuven|0032-002|164|6,6,",",",",u--------,AuxX
Leuven|0032-002|164|7,7,ὅτι,ὅτι,c--------,AuxC
Leuven|0032-002|164|8,8,νόμιμοι,νόμιμος,a-p---mn-,ATR
Leuven|0032-002|164|9,9,ἄνδρες,ἀνήρ,n-p---mn-,PNOM
Leuven|0032-002|164|10,10,εἰσίν,εἰμί,v3ppia---,ADV
Leuven|0032-002|164|11,11,",",",",u--------,AuxX
Leuven|0032-002|164|12,12,οἶμαι,οἴομαι,v1spie---,ADV
Leuven|0032-002|164|13,13,μὴ,μή,d--------,AuxZ
Leuven|0032-002|164|14,14,ἂν,ἄν,d--------,AuxY
Leuven|0032-002|164|15,15,δικαίως,δίκαιος,d--------,ADV
Leuven|0032-002|164|16,16,τούτου,οὗτος,p-s---mg-,ATR
Leuven|0032-002|164|17,17,τυχεῖν,τυγχάνω,v--ana---,OBJ
Leuven|0032-002|164|18,18,τοῦ,ὁ,l-s---mg-,ATR
Leuven|0032-002|164|19,19,ἐπαίνου,ἔπαινος,n-s---mg-,OBJ
Leuven|0032-002|164|20,20,τὸν,ὁ,l-s---ma-,ATR
Leuven|0032-002|164|21,21,μὴ,μή,d--------,AuxZ
Leuven|0032-002|164|22,22,εἰδότα,οἶδα,v-srpama-,SBJ
Leuven|0032-002|164|23,23,τί,τίς,p-s---nn-,PNOM
Leuven|0032-002|164|24,24,ἐστι,εἰμί,v3spia---,OBJ
Leuven|0032-002|164|25,25,νόμος,νόμος,n-s---mn-,SBJ
Leuven|0032-002|164|26,26,.,.,u--------,AuxK
"""""",27,[0],"""""","""""",PRED
