@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|56|1,1,ἀλλ’,ἀλλά,c--------,AuxY
Leuven|0032-002|56|2,2,ἔπαυσε,παύω,v3saia---,PRED
Leuven|0032-002|56|3,3,μὲν,μέν,d--------,AuxY
Leuven|0032-002|56|4,4,τούτων,οὗτος,p-p---ng-,OBJ
Leuven|0032-002|56|5,5,πολλοὺς,πολύς,a-p---ma-,OBJ
Leuven|0032-002|56|6,6,ἀρετῆς,ἀρετή,n-s---fg-,OBJ
Leuven|0032-002|56|7,7,ποιήσας,ποιέω,v-sapamn-,ADV_CO
Leuven|0032-002|56|8,8,ἐπιθυμεῖν,ἐπιθυμέω,v--pna---,OBJ
Leuven|0032-002|56|9,9,καὶ,καί,c--------,COORD
Leuven|0032-002|56|10,10,ἐλπίδας,ἐλπίς,n-p---fa-,OBJ
Leuven|0032-002|56|11,11,παρασχών,παρέχω,v-sapamn-,ADV_CO
Leuven|0032-002|56|12,12,",",",",u--------,AuxX
Leuven|0032-002|56|13,13,ἂν,ἄν2,c--------,AuxC
Leuven|0032-002|56|14,14,ἑαυτῶν,ἑαυτοῦ,p-p---mg-,OBJ
Leuven|0032-002|56|15,15,ἐπιμελῶνται,ἐπιμελέομαι,v3ppse---,ADV
Leuven|0032-002|56|16,16,",",",",u--------,AuxX
Leuven|0032-002|56|17,17,καλοὺς,καλός,a-p---ma-,PNOM_CO
Leuven|0032-002|56|18,18,κἀγαθοὺς,ἀγαθός,a-p---ma-,PNOM_CO
Leuven|0032-002|56|19,19,ἔσεσθαι,εἰμί,v--fnm---,ATR
Leuven|0032-002|56|20,20,·,·,u--------,AuxX
Leuven|0032-002|56|21,21,·,·,u--------,AuxK
"""""",22,[0],"""""","""""",PRED
