@ref,@id,@form,@lemma,@postag,@relation
Leuven|0032-002|179|1,1,ὅσα,ὅσος,p-p---na-,OBJ
Leuven|0032-002|179|2,2,δὲ,δέ,d--------,AuxY
Leuven|0032-002|179|3,3,οἱ,ὁ,l-p---mn-,ATR
Leuven|0032-002|179|4,4,ὀλίγοι,ὀλίγος,a-p---mn-,SBJ
Leuven|0032-002|179|5,5,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0032-002|179|6,6,πολλοὺς,πολύς,a-p---ma-,OBJ
Leuven|0032-002|179|7,7,μὴ,μή,d--------,AuxZ
Leuven|0032-002|179|8,8,πείσαντες,πείθω,v-papamn-,ADV_CO
Leuven|0032-002|179|9,9,",",",",u--------,AuxX
Leuven|0032-002|179|10,10,ἀλλὰ,ἀλλά,c--------,COORD
Leuven|0032-002|179|11,11,κρατοῦντες,κρατέω,v-pppamn-,ADV_CO
Leuven|0032-002|179|12,12,γράφουσι,γράφω,v3ppia---,SBJ
Leuven|0032-002|179|13,13,",",",",u--------,AuxX
Leuven|0032-002|179|14,14,πότερον,πότερος,p-s---na-,AuxY
Leuven|0032-002|179|15,15,βίαν,βία,n-s---fa-,PNOM
Leuven|0032-002|179|16,16,φῶμεν,φημί,v1ppsa---,PRED_CO
Leuven|0032-002|179|17,17,ἢ,ἤ,c--------,AuxC
Leuven|0032-002|179|18,18,μὴ,μή,d--------,AuxZ
Leuven|0032-002|179|19,19,φῶμεν,φημί,v1ppsa---,PRED_CO
Leuven|0032-002|179|20,20,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0032-002|179|21,21,;,;,u--------,AuxK
"""""",22,[0],"""""","""""",PRED
