;form;lemmi;postag
0;,;[','];['u--------']
1;-δὲ;['δέ'];['c--------']
2;-τε;['τε'];['c--------']
3;.;['.'];['u--------']
4;E;['E'];['z--------']
5;·;['·'];['u--------']
6;ἂν;['ἄν'];['g--------']
7;ἄγγεος;['ἄγγος'];['n-s---ng-']
8;ἄγγος;['ἄγγος'];['n-s---na-']
9;ἄγονον;['ἄγονος'];['a-s---na-']
10;ἄλλη;['ἄλλος'];['p-s---fn-']
11;ἄλλοτε;['ἄλλοτε'];['d--------']
12;ἄλλου;['ἄλλος'];['p-s---ng-']
13;ἄλλῳ;['ἄλλος'];['p-s---nd-']
14;ἄν;['ἐάν'];['c--------']
15;ἄνδρα;['ἀνήρ'];['n-s---ma-']
16;ἄνδρας;['ἀνήρ'];['n-p---ma-']
17;ἄνδρες;['ἀνήρ'];['n-p---mn-']
18;ἄνθρωπος;['ἄνθρωπος'];['n-s---mn-']
19;ἄρα;['ἄρα'];['g--------']
20;ἄρξηται;['ἄρχω'];['v3sasm---']
21;ἄρσεν;['ἄρσην'];['a-s---nn-', 'a-s---na-']
22;ἄρσενα;['ἄρσην'];['a-s---ma-', 'a-p---nn-']
23;ἄρσενος;['ἄρσην'];['a-s----g-']
24;ἄρσην;['ἄρσην'];['a-s---mn-']
25;ἀεὶ;['ἀεί'];['d--------']
26;ἀείρεται;['ἀείρω'];['v3spim---']
27;ἀλλὰ;['ἀλλά'];['c--------']
28;ἀλλά;['ἀλλά'];['c--------']
29;ἀλλοῖον;['ἀλλοῖος'];['a-s---nn-']
30;ἀλλ’;['ἀλλά'];['c--------']
31;ἀμαλδύνεται;['ἀμαλδύνω'];['v3spim---']
32;ἀμφοτέροισιν;['ἀμφότερος'];['a-p---md-']
33;ἀμφοτέρων;['ἀμφότερος'];['a-p---mg-', 'a-p---ng-']
34;ἀνάγκη;['ἀνάγκη'];['n-s---fn-']
35;ἀναβήσομαι;['ἀναβαίνω'];['v1sfim---']
36;ἀνατέλλον;['ἀνατέλλω'];['v-sppann-']
37;ἀνδράσι;['ἀνήρ'];['n-p---md-']
38;ἀνδράσιν;['ἀνήρ'];['n-p---md-']
39;ἀνδρὶ;['ἀνήρ'];['n-s---md-']
40;ἀνδρὸς;['ἀνήρ'];['n-s---mg-']
41;ἀνὴρ;['ἀνήρ'];['n-s---mn-']
42;ἀνήρ;['ἀνήρ'];['n-s---mn-']
43;ἀνθρώπου;['ἄνθρωπος'];['n-s---mg-']
44;ἀνθρώπῳ;['ἄνθρωπος'];['n-s---md-']
45;ἀνθρώπων;['ἄνθρωπος'];['n-p---mg-']
46;ἀνυστὸν;['ἀνυστός'];['a-s---nn-']
47;ἀπηνθηκότα;['ἀπανθέω'];['v-srpama-']
48;ἀπὸ;['ἀπό'];['r--------']
49;ἀπόκρισιν;['ἀπόκρισις'];['n-s---fa-']
50;ἀποδίδοσθαι;['ἀποδίδωμι'];['v--pnm---']
51;ἀποκρίνεσθαι;['ἀποκρίνω'];['v--pnm---']
52;ἀποκρίνεται;['ἀποκρίνω'];['v3spim---']
53;ἀποκριθέν;['ἀποκρίνω'];['v-sappna-']
54;ἀποκρινο;['ἀποκρινοομαι'];['v2spmm---']
55;ἀποληφθῇ;['ἀπολαμβάνω'];['v3sasp---']
56;ἀποπέφανται;['ἀποφαίνω'];['v3srim---']
57;ἀποτέμνεται;['ἀποτέμνω'];['v3spim---']
58;ἀποχωρέειν;['ἀποχωρέω'];['v--pna---']
59;ἀπ’;['ἀπό'];['r--------']
60;ἀριθμὸν;['ἀριθμός'];['n-s---ma-']
61;ἀρυστῆρα;['ἀρυστήρ'];['n-s---ma-']
62;ἀρυστῆρος;['ἀρυστήρ'];['n-s---mg-']
63;ἀσθενὲς;['ἀσθενής'];['a-s---nn-', 'a-s---na-']
64;ἀσθενέα;['ἀσθενής'];['a-p---nn-']
65;ἀσθενέες;['ἀσθενής'];['a-p---mn-']
66;ἀσθενέος;['ἀσθενής'];['a-s---ng-']
67;ἀσθενέστερον;['ἀσθενής'];['a-s---nnc']
68;ἀσθενέων;['ἀσθενής'];['a-p---mg-']
69;ἀσθενεῖ;['ἀσθενής'];['a-s---nd-']
70;ἀσθενὴς;['ἀσθενής'];['a-s---fn-']
71;ἀφίει;['ἀφίημι'];['v3siia---']
72;ἀφιᾶσιν;['ἀφίημι'];['v3ppia---']
73;ἀφικόμενοι;['ἀφικνέομαι'];['v-papmmn-']
74;ἀφρέει;['ἀφρέω'];['v3spia---']
75;ἀφρέοντος;['ἀφρέω'];['v-sppang-']
76;ἀφ’;['ἀπό'];['r--------']
77;ἅμα;['ἅμα'];['d--------']
78;ἅσσα;['ὅστις'];['p-p---nn-']
79;ἅτε;['ἅτε'];['d--------']
80;ἁδρὸς;['ἁδρός'];['a-s---mn-']
81;αἴτιαί;['αἴτιος'];['a-p---fn-']
82;αἴτιον;['αἴτιος'];['a-s---na-']
83;αἰδοίου;['αἰδοῖον'];['n-s---ng-']
84;αἰδοῖον;['αἰδοῖον'];['n-s---na-']
85;αἱ;['ὁ'];['l-p---fn-']
86;αἷμα;['αἷμα'];['n-s---nn-', 'n-s---na-']
87;αὔξεσθαι;['αὐξάνω'];['v--pnm---']
88;αὔξῃ;['αὔξη'];['n-s---fd-']
89;αὔξης;['αὔξη'];['n-s---fg-']
90;αὔξωνται;['αὐξάνω'];['v3ppsm---']
91;αὖθις;['αὖθις'];['d--------']
92;αὐτὰς;['αὐτός'];['p-p---fa-']
93;αὐτά;['αὐτός'];['p-p---na-']
94;αὐτέου;['αύ̓τος'];['a-s---mg-']
95;αὐτὴν;['αὐτός'];['p-s---fa-']
96;αὐτῇφι;['αὐτῇφις'];['n-s---fd-']
97;αὐτῆς;['αὐτός'];['p-s---fg-']
98;αὐτὸ;['αὐτός'];['p-s---na-']
99;αὐτὸν;['αὐτός'];['p-s---ma-']
100;αὐτοὶ;['αὐτός'];['p-p---mn-']
101;αὐτοὺς;['αὐτός'];['p-p---ma-']
102;αὐτοῦ;['αὐτός', 'αὐτοῦ'];['d--------', 'p-s---mg-', 'p-s---ng-']
103;αὐτῷ;['αὐτός'];['p-s---md-']
104;αὐτῶν;['αὐτός'];['p-p---ng-']
105;αὕτη;['οὗτος'];['p-s---fn-']
106;βιαίου;['βίαιος'];['a-s---ng-']
107;γὰρ;['γάρ'];['g--------']
108;γάρ;['γάρ'];['g--------']
109;γέγονεν;['γίγνομαι'];['v3sria---']
110;γένηται;['γίγνομαι'];['v3sasm---']
111;γενέσθαι;['γίγνομαι'];['v--anm---']
112;γενόμενα;['γίγνομαι'];['v-papmnn-']
113;γενόμενος;['γίγνομαι'];['v-sapmmn-']
114;γενομένη;['γίγνομαι'];['v-sapmfn-']
115;γενομένης;['γίγνομαι'];['v-sapmfg-']
116;γενομένου;['γίγνομαι'];['v-sapmng-']
117;γενομένων;['γίγνομαι'];['v-papmng-']
118;γῇ;['γῆ'];['n-s---fd-']
119;γίνεσθαι;['γίγνομαι'];['v--pnm---']
