;form;lemmi;postag
0;,;[','];['u--------']
1;-δὲ;['δέ'];['c--------']
2;.;['.'];['u--------']
3;E;['E'];['z--------']
4;Θεόν;['θεός'];['n-s---ma-']
5;Θεοῦ;['θεός'];['n-s---mg-']
6;ἄλλου;['ἄλλος'];['p-s---mg-']
7;ἀρχὴν;['ἀρχή'];['n-s---fa-']
8;ἃ;['ὅς'];['p-p---na-']
9;ἁπάντων;['ἅπας'];['p-p---ng-']
10;αἶσχος;['αἶσχος'];['n-s---nn-']
11;βίου;['βίος'];['n-s---mg-']
12;βιοῦν;['βιόω'];['v--pna---']
13;γέλα;['γελάω'];['v2spma---']
14;γέλως;['γέλως'];['n-s---mn-']
15;γίνωσκε;['γιγνώσκω'];['v2spma---']
16;γλῶσσα;['γλῶσσα'];['n-s---fn-']
17;δαμαζέσθω;['δαμάζω'];['v3spmm---']
18;δὲ;['δέ'];['c--------']
19;δέχεσθαι;['δέχομαι'];['v--pnm---']
20;δεῖ;['δέω'];['v3spia---']
21;δεινὸν;['δεινός'];['a-s---nn-']
22;δικαίου;['δίκαιος'];['a-s---ng-']
23;δοκεῖν;['δοκέω'];['v--pna---']
24;δράματα;['δρᾶμα'];['n-p---na-']
25;δ’;['δέ'];['c--------']
26;ἔκτριβε;['ἐκτρίβω'];['v2spma---']
27;ἔξω;['ἔξω'];['d--------']
28;ἔχοι;['ἔχω'];['v3spoa---']
29;ἐκφέρῃ;['ἐκφέρω'];['v3spsa---']
30;εἶναι;['εἰμί'];['v--pna---']
31;εὖ;['εὖ'];['d--------']
32;εὐεργετῶν;['εὐεργετέω'];['v-sppamn-']
33;εὐπλοεῖς;['εὐπλοέω'];['v2spia---']
34;εὐπορεῖν;['εὐπορέω'];['v--pna---']
35;εὐχαρίστως;['εὐχάριστος'];['d--------']
36;ζάλης;['ζάλη'];['n-s---fg-']
37;ζήτει;['ζητέω'];['v2spma---']
38;ἢ;['ἤ'];['c--------']
39;ἡ;['ὁ'];['l-s---fn-']
40;ἡγείσθω;['ἡγέομαι'];['v3spmm---']
41;ἡμέραν;['ἡμέρα'];['n-s---fa-']
42;θέμις;['θέμις'];['n-s---fn-']
43;θεοῦ;['θεός'];['n-s---mg-']
44;θεῷ;['θεός'];['n-s---md-']
45;θύοιτο;['θύω'];['v3spom---']
46;θύρας;['θύρα'];['n-p---fa-']
47;θυμὸν;['θυμός'];['n-s---ma-']
48;ἴσθι;['οἶδα'];['v2srma---']
49;ἵστη;['ἵστημι'];['v3siia---']
50;καθ’;['κατά'];['r--------']
51;καὶ;['καί'];['c--------']
52;κακοῦ;['κακός'];['a-s---ng-']
53;κακῶς;['κακός'];['d--------']
54;καλῶν;['καλός'];['a-p---mg-']
55;καλῶς;['καλός'];['d--------']
56;κέρδος;['κέρδος'];['n-s---nn-']
57;κείσθω;['κεῖμαι'];['v3spmm---']
58;κλεὶς;['κλείς'];['n-s---fn-']
59;κρατείσθω;['κρατέω'];['v3spmm---']
60;λόγος;['λόγος'];['n-s---mn-']
61;λύχνος;['λύχνος'];['n-s---mn-']
62;μάλιστα;['μάλα'];['d-------s']
63;μᾶλλον;['μάλα'];['d-------c']
64;μὲν;['μέν'];['g--------']
65;μέγα;['μέγας'];['a-s---nn-', 'a-s---na-']
66;μέμνησο;['μιμνῄσκω'];['v2srmm---']
67;μη;['μή'];['d--------']
68;μὴ;['μή'];['d--------']
69;μή;['μή'];['d--------']
70;μικρὸν;['μικρός'];['a-s---nn-']
71;μικρόν;['μικρός'];['a-s---nn-']
72;μιμεῖσθαι;['μιμέομαι'];['v--pnm---']
73;νόει;['νοέω'];['v2spma---']
74;νόμιζε;['νομίζω'];['v2spma---']
75;ξένον;['ξένος'];['a-s---ma-']
76;ξένους;['ξένος'];['a-p---ma-']
77;ὄμμα;['ὄμμα'];['n-s---nn-']
78;ὅταν;['ὅταν'];['c--------']
79;ὅτ’;['ὅτε'];['c--------']
80;οὐ;['οὐ'];['d--------']
81;πάντα;['πᾶς'];['p-p---na-']
82;πάντ’;['πᾶς'];['p-p---na-']
83;πᾶν;['πᾶς'];['p-s---nn-']
84;παντὸς;['πᾶς'];['p-s---mg-']
85;πένεσθαι;['πένομαι'];['v--pnm---']
86;πέσῃς;['πίπτω'];['v2sasa---']
87;πλεῖον;['πολύς'];['a-s---nnc']
88;πλουσίων;['πλούσιος'];['a-p---mg-']
89;ποιοῦ;['ποιέω'];['v2spmm---']
90;πορνεύοι;['πορνεύω'];['v3spoa---']
91;πράσσειν;['πράσσω'];['v--pna---']
92;πρᾶσσε;['πράσσω'];['v2spma---']
93;πτῶμα;['πτῶμα'];['n-s---na-']
94;ῥάβδος;['ῥάβδος'];['n-s---fn-']
95;σὰρξ;['σάρξ'];['n-s---fn-']
96;σαυτόν;['σεαυτοῦ'];['p-s---ma-']
97;σεαυτὸν;['σεαυτοῦ'];['p-s---ma-']
98;σοι;['σύ'];['p-s---cd-']
99;σοφῶν;['σοφός'];['a-p---mg-']
100;στάθμην;['στάθμη'];['n-s---fa-']
101;σωθήσεται;['σῴζω'];['v3sfip---']
102;τα-;['ὁ'];['l-p---na-']
103;τὰ;['ὁ'];['l-p---na-']
104;τἀκ;['ἐκ'];['r--------']
105;ταῦτα;['οὗτος'];['p-p---na-']
106;τέλος;['τέλος'];['n-s---na-']
107;τίμα;['τιμάω'];['v2spma---']
108;τίς;['τίς'];['p-s---cn-']
109;τιμὴ;['τιμή'];['n-s---fn-']
110;τὸ;['ὁ'];['l-s---nn-']
111;τῷ;['ὁ'];['l-s---nd-']
112;τῶν;['ὁ'];['l-p---mg-']
113;ὑπορρέοι;['ὑπορρέω'];['v3spoa---']
114;φθονεῖν;['φθονέω'];['v--pna---']
115;φθονεῖσθαι;['φθονέω'];['v--pnm---']
116;φρενῶν;['φρήν'];['n-p---fg-']
117;φύλασσε;['φυλάσσω'];['v2spma---']
118;φυλάξει;['φυλάσσω'];['v3sfia---']
119;χάρις;['χάρις'];['n-s---fn-']
120;χαλίνου;['χαλινόω'];['v2spma---']
121;χεῖρον;['κακός'];['a-s---nnc']
122;χρηστὸς;['χρηστός'];['a-s---mn-']
123;χρηστότητα;['χρηστότης'];['n-s---fa-']
124;ψυχὴ;['ψυχή'];['n-s---fn-']
125;ὢ;['ὦ'];['i--------']
126;ὤν;['εἰμί'];['v-sppamn-']
127;ὠσὶ;['οὖς'];['n-p---nd-']
