;form;lemmi;postag
0;;[None];[None]
1;,;[','];['u--------']
2;-δὲ;['δέ'];['c--------']
3;-δ’;['δέ'];['c--------']
4;-θ’;['τε'];['c--------']
5;-τε;['τε'];['c--------']
6;-τ’;['τε'];['c--------']
7;.;['.'];['u--------']
8;";";"[';']";['u--------']
9;E;['E'];['z--------']
10;·;['·'];['u--------']
11;Βοιωτοῖς;['Βοιωτός'];['n-p---md-']
12;Ἐρέτριαν;['Ἐρέτρια'];['n-s---fa-']
13;Ἑλλησπόντῳ;['Ἑλλήσποντος'];['n-s---md-']
14;Κατάνην;['Κατάνη'];['n-s---fa-']
15;Καταναῖοι;['Καταναῖος'];['a-p---mn-']
16;Λέοντος;['Λέων'];['n-s---mg-']
17;Πολύστρατος;['Πολύστρατος'];['n-s---mn-']
18;Σικελίᾳ;['Σικελία'];['n-s---fd-']
19;Σικελίαν;['Σικελία'];['n-s---fa-']
20;Συρακουσίου;['Συρακούσιος'];['a-s---mg-']
21;Τυδέα;['Τυδεύς'];['n-s---ma-']
22;Φρύνιχον;['Φρύνιχος'];['n-s---ma-']
23;Φρυνίχῳ;['Φρύνιχος'];['n-s---md-']
24;Ὠρωπῷ;['Ὠρωπός'];['n-s---md-']
25;ἂν;['ἄν'];['g--------']
26;ἄλλα;['ἄλλος'];['p-p---na-']
27;ἄλλοι;['ἄλλος'];['p-p---mn-']
28;ἄλλοις;['ἄλλος'];['p-p---md-']
29;ἄλλους;['ἄλλος'];['p-p---ma-']
30;ἄλλων;['ἄλλος'];['p-p---mg-', 'p-p---ng-']
31;ἄν;['ἄν'];['g--------']
32;ἄνδρες;['ἀνήρ'];['n-p---mv-']
33;ἄριστα;['ἀγαθός'];['a-p---nas']
34;ἄριστ’;['ἀγαθός'];['a-p---nas']
35;ἄρξας;['ἄρχω'];['v-sapamn-']
36;ἄρχοντες;['ἄρχω'];['v-pppamn-']
37;ἄστει;['ἄστυ'];['n-s---nd-']
38;ἄστυ;['ἄστυ'];['n-s---na-']
39;ἄτιμος;['ἄτιμος'];['a-s---mn-']
40;ἀγαθὰ;['ἀγαθός'];['a-p---nn-']
41;ἀγαθὸς;['ἀγαθός'];['a-s---mn-']
42;ἀγαθοὶ;['ἀγαθός'];['a-p---mn-']
43;ἀγαθῶν;['ἀγαθός'];['a-p---ng-']
44;ἀγρῷ;['ἀγρός'];['n-s---md-']
45;ἀγωνιεῖσθαι;['ἀγωνίζομαι'];['v--fnm---']
46;ἀδελφὸν;['ἀδελφός'];['n-s---ma-']
47;ἀδίκως;['ἄδικος'];['d--------']
48;ἀδικεῖν;['ἀδικέω'];['v--pna---']
49;ἀδικεῖτε;['ἀδικέω'];['v2ppia---']
