;form;lemmi;postag
0;"""";"['""']";['u--------']
1;(;['('];['u--------']
2;);[')'];['u--------']
3;,;[','];['u--------']
4;-δὲ;['δέ'];['c--------', 'b--------']
5;-δέ;['δέ'];['c--------']
6;-δ’;['δέ'];['c--------', 'b--------']
7;-θ’;['τε'];['b--------']
8;-τε;['τε'];['c--------', 'b--------']
9;-τ’;['τε'];['b--------', 'c--------']
10;.;['.'];['u--------']
11;";";"[';']";['u--------']
12;E;['E'];['z--------']
13;G;['G'];['z--------']
14;·;['·'];['u--------']
15;Ἄραψ;['Ἄραψ'];['n-s---mn-']
16;Ἀθήναις;['Ἀθῆναι'];['n-p---fd-']
17;Ἀθήνας;['Ἀθῆναι'];['n-p---fa-']
18;Ἀθήνῃσιν;['Ἀθῆναι'];['n-p---fd-']
19;Ἀθηνᾶ;['Ἀθήνη'];['n-s---fn-']
20;Ἀθηνᾷ;['Ἀθήνη'];['n-s---fd-']
21;Ἀθηνᾶν;['Ἀθήνη'];['n-s---fa-']
22;Ἀθηναία;['Ἀθήνη'];['n-s---fn-']
23;Ἀθηναίοις;['Ἀθηναῖος'];['a-p---md-']
24;Ἀθηναίων;['Ἀθηναῖος'];['a-p---mg-']
25;Ἀθηναῖός;['Ἀθηναῖος'];['a-s---mn-']
26;Ἀθηναῖος;['Ἀθηναῖος'];['a-s---mn-']
27;Ἀθηναιτς;['Ἀθηναιτς'];['n-p---mn-']
28;Ἀθηνῶν;['Ἀθῆναι'];['n-p---fg-']
29;Ἀλκμήνης;['Ἀλκμήνη'];['n-s---fg-']
30;Ἀμαλθείας;['Ἀμαλθεία'];['n-s---fg-']
31;Ἀπόλλων;['Ἀπόλλων'];['n-s---mn-']
32;Ἀπόλλωνα;['Ἀπόλλων'];['n-s---ma-']
33;Ἀπόλλωνι;['Ἀπόλλων'];['n-s---md-']
34;Ἀπόλλωνος;['Ἀπόλλων'];['n-s---mg-']
35;Ἀράβων;['Ἄραψ'];['n-p---mg-']
36;Ἀρετὴ;['Ἀρετή'];['n-s---fn-']
37;Ἀρετῆς;['Ἀρετή'];['n-s---fg-']
38;Ἀρσινόην;['Ἀρσινόη'];['n-s---fa-']
39;Ἀττικὰ;['Ἀττικός'];['a-p---na-']
40;Ἀττικῆς;['Ἀττική'];['n-s---fg-']
41;Ἀφροδίτη;['Ἀφροδίτη'];['n-s---fn-']
42;Ἀφροδίτῃ;['Ἀφροδίτη'];['n-s---fd-']
43;Ἀφροδίτην;['Ἀφροδίτη'];['n-s---fa-']
44;Ἀφροδίτης;['Ἀφροδίτη'];['n-s---fg-']
45;Ἅιδης;['ᾍδης'];['n-s---mn-']
46;Αθηναίων;['Αθηναῖος'];['a-p---mg-']
47;Αθηναῖος;['Αθηναῖος'];['a-s---mn-']
48;Αἴσωπός;['Αἴσωπος'];['n-s---mn-']
49;Αἴσωπον;['Αἴσωπος'];['n-s---ma-']
50;Αἴσωπος;['Αἴσωπος'];['n-s---mn-']
51;Αἰγύπτιος;['Αἰγύπτιος'];['a-s---mn-']
52;Αἰθίοπά;['Αἰθίοψ'];['n-s---ma-']
53;Αἰολέες;['Αἰολεύς'];['n-p---mn-']
54;Αἰολεῦσι;['Αἰολεύς'];['n-p---md-']
55;Αἰσώπειον;['Αἰσώπειος'];['a-s---ma-']
56;Αἰσωπείου;['Αἰσώπειος'];['a-s---fg-']
57;Αἰσωπείων;['Αἰσώπειος'];['a-p---mg-']
58;Βοιωτὸς;['Βοιωτός'];['n-s---mn-']
59;Βορέας;['Βορέας'];['n-s---mn-']
60;Γέλωνι;['Γέλων'];['n-s---md-']
61;Γέλωνος;['Γέλων'];['n-s---mg-']
62;Γῇ;['Γῆ'];['n-s---fd-']
63;Γῆν;['Γῆ'];['n-s---fa-']
64;Δελφοῖς;['Δελφοί'];['n-p---md-']
65;Δελφούς;['Δελφοί'];['n-p---ma-']
66;Δήμητρα;['Δημήτηρ'];['n-s---fv-', 'n-s---fn-']
67;Δημάδης;['Δημάδης'];['n-s---mn-']
68;Δημοσθένης;['Δημοσθένης'];['n-s---mn-']
69;Δία;['Ζεύς'];['n-s---ma-']
70;Δί’;['Ζεύς'];['n-s---ma-']
71;Διὶ;['Ζεύς'];['n-s---md-']
72;Διὸς;['Ζεύς'];['n-s---mg-']
73;Διόνυσος;['Διόνυσος'];['n-s---mn-']
74;Διογένης;['Διογένης'];['n-s---mn-']
75;Διονυσίοις;['Διονύσιον'];['n-p---nd-']
76;Ἔρως;['Ἔρως'];['n-s---mn-']
77;Ἔρωσι;['Ἔρως'];['n-p---md-']
78;Ἔρωτα;['Ἔρως'];['n-s---ma-']
79;Ἔρωτος;['Ἔρως'];['n-s---mg-']
80;Ἐλπὶς;['Ἐλπίς'];['n-s---fn-']
81;Ἕλλην;['Ἕλλην'];['n-s---mn-']
82;Ἑλλάδα;['Ἑλλάς'];['n-s---fa-']
83;Ἑλλάδος;['Ἑλλάς'];['n-s---fg-']
84;Ἑρμεία;['Ἑρμῆς'];['n-s---mv-']
85;Ἑρμείην;['Ἑρμῆς'];['n-s---ma-']
86;Ἑρμῇ;['Ἑρμῆς'];['n-s---md-']
87;Ἑρμῆν;['Ἑρμῆς'];['n-s---ma-']
88;Ἑρμῆς;['Ἑρμῆς'];['n-s---mn-']
89;Ἑρμοῦ;['Ἑρμῆς'];['n-s---mg-']
90;Ερμῆ;['Ερμῆς'];['n-s---mv-']
91;Εὖρον;['εὑρίσκω'];['v1saia---']
92;Εὐδαιμονίαν;['Εὐδαιμονία'];['n-s---fa-']
93;Ζδεὺς;['Ζδεύς'];['n-s---mn-']
94;Ζεὺς;['Ζεύς'];['n-s---mn-']
95;Ζεῦ;['Ζεύς'];['n-s---mv-']
96;Ἠ;['Ἠς', 'Ἡ', 'Ἤ'];['l-s---na-', 'p-s---ma-', 'n-s---fa-', 'l-s---fn-']
97;Ἥλιος;['Ἥλιος'];['n-s---mn-']
98;Ἥρας;['Ἥρα'];['n-s---fg-']
99;Ἡλίου;['Ἥλιος'];['n-s---mg-']
100;Ἡλίῳ;['Ἥλιος'];['n-s---md-']
101;Ἡράκλεις;['Ἡρακλῆς'];['n-s---mv-']
102;Ἡρακλέα;['Ἡρακλῆς'];['n-s---ma-']
103;Ἡρακλέους;['Ἡρακλῆς'];['n-s---mg-']
104;Ἡρακλεῖ;['Ἡρακλῆς', 'Ἡρακλέης'];['n-s---md-']
105;Ἡρακλῆν;['Ἡρακλῆς'];['n-s---ma-']
106;Ἡρακλῆς;['Ἡρακλῆς', 'Ἡρακλέης'];['n-s---mn-']
107;Θάνατον;['Θάνατος'];['n-s---ma-']
108;Θάνατος;['Θάνατος'];['n-s---mn-']
109;Θανάτου;['Θάνατος'];['n-s---mg-']
110;Θηβαίῳ;['Θηβαῖος'];['a-s---md-']
111;Θηβαῖος;['Θηβαῖος'];['n-s---mn-']
112;Θησεὺς;['Θησεύς'];['n-s---mn-']
113;Θρᾴκην;['Θρᾴκη'];['n-s---fa-']
114;Ἴτυν;['Ἴτυς'];['n-s---ma-']
115;Ἴωνες;['Ἴων'];['n-p---mn-']
116;Ἴωσι;['Ἴων'];['n-p---md-']
117;Ἱμεραίων;['Ἱμεραῖος'];['a-p---mg-']
118;Ἱμεραῖοι;['Ἱμεραῖος'];['a-p---mv-']
119;Ἱμεραῖος;['Ἱμεραῖος'];['a-s---mn-']
120;Κακία;['Κακία'];['n-s---fn-']
121;Κακίαν;['Κακία'];['n-s---fa-']
122;Κροίσου;['Κροῖσος'];['n-s---mg-']
123;Κροίσῳ;['Κροῖσος'];['n-s---md-']
124;Κύκλωψ;['Κύκλωψ'];['n-s---mn-']
125;Κύμῃ;['Κύμη'];['n-s---fd-']
126;Κύρου;['Κῦρος'];['n-s---mg-']
127;Κύρῳ;['Κῦρος'];['n-s---md-']
128;Κῦρον;['Κῦρος'];['n-s---ma-']
129;Κῦρος;['Κῦρος'];['n-s---mn-']
130;Κυμαίους;['Κυμαῖος'];['a-p---ma-']
131;Λίβυσσα;['Λίβυς'];['n-s---fn-']
132;Λυδοὶ;['Λυδός'];['a-p---mn-']
133;Λυκοῦργος;['Λυκοῦργος'];['n-s---mn-']
134;Μαίανδρον;['Μαίανδρος'];['n-s---ma-']
135;Μεγάραδε;['Μέγαράδε'];['d--------']
136;Μίλητον;['Μίλητος'];['n-s---fa-']
137;Μούσας;['Μοῦσα'];['n-p---fa-']
138;Μουσῶν;['Μοῦσα'];['n-p---fg-']
139;Μῶμον;['Μῶμος'];['n-s---ma-']
140;Μῶμος;['Μῶμος'];['n-s---mn-']
141;Νεῖλον;['Νεῖλος'];['n-s---ma-']
142;Ὀλύμπου;['Ὄλυμπος'];['n-s---mg-']
143;Ὀλυμπιονικῶν;['Ὀλυμπιονίκης'];['n-p---mg-']
144;Ὅρκον;['Ὅρκος'];['n-s---ma-']
145;Ὅρκῳ;['Ὅρκος'];['n-s---md-']
146;Παιών;['παιάν'];['n-s---mn-']
147;Παναθηναίοις;['Παναθήναια'];['a-p---nd-']
148;Πανδίονα;['Πανδίων'];['n-s---ma-']
149;Πειραιᾶ;['Πειραιεύς'];['n-s---ma-']
150;Περσέων;['Πέρσης'];['n-p---mg-']
151;Πλειάδων;['Πλειάδες'];['n-p---fg-']
152;Πλούτου;['Πλοῦτος'];['n-s---mg-']
153;Πλοῦτον;['Πλοῦτος'];['n-s---ma-']
154;Ποσειδῶν;['Ποσειδῶν'];['n-s---mn-']
155;Πρόδικος;['Πρόδικος'];['n-s---mn-']
156;Προμηθέα;['Προμηθεύς'];['n-s---ma-']
157;Προμηθεὺς;['Προμηθεύς'];['n-s---mn-']
158;Προμηθεύς;['Προμηθεύς'];['n-s---mn-']
159;Πυγμαίων;['Πυγμαῖος'];['n-p---mg-']
160;Ῥόδος;['Ῥόδος'];['n-s---fn-']
161;Ῥόδῳ;['Ῥόδος'];['n-s---fd-']
162;Σάμιοι;['Σάμιος'];['a-p---mv-']
163;Σάμῳ;['Σάμος'];['n-s---fd-']
164;Σάρδις;['Σάρδεις'];['n-p---fa-']
165;Σάτυρον;['Σάτυρος'];['n-s---ma-']
166;Σατύρου;['Σάτυρος'];['n-s---mg-']
167;Σκελιώτης;['Σκελιώτης'];['n-s---mn-']
168;Σούνιον;['Σούνιον'];['n-s---na-']
169;Στησίχορος;['Στησίχορος'];['n-s---mn-']
170;Σωκράτης;['Σωκράτης'];['n-s---mn-']
171;Τειρεσίᾳ;['Τειρεσίας'];['n-s---md-']
172;Τειρεσίου;['Τειρεσίας'];['n-s---mg-']
173;Τηρέα;['Τηρεύς'];['n-s---ma-']
174;Τηρέως;['Τηρεύς'];['n-s---mg-']
175;Τύχη;['Τύχη'];['n-s---fn-']
176;Τύχην;['Τύχη'];['n-s---fa-']
177;Ὑμηττία;['Ὑμήττιος'];['a-s---fn-']
178;Ὑπερίονος;['Ὑπερίων'];['n-s---mg-']
179;Φάλαριν;['Φάλαρις'];['n-s---ma-']
180;Φαλάριδι;['Φάλαρις'];['n-s---md-']
181;Ὠρίων;['Ὠρίων'];['n-s---mn-']
182;ἂγευστος;['ἄγευστος'];['a-s---mn-']
183;ἂγουσιν;['ἄγω'];['v3ppia---']
184;ἂκαρπον;['ἄκαρπος'];['a-s---ma-']
185;ἂμυναν;['ἄμυνα'];['n-s---fa-']
186;ἂν;['ἐάν', 'ἄν'];['c--------', 'g--------']
187;ἂνδρα;['ἀνήρ'];['n-s---ma-']
188;ἂνθρωπος;['ἄνθρωπος'];['n-s---mn-']
189;ἂντρῳ;['ἄντρον'];['n-s---nd-']
190;ἂπειμι;['ἀπέρχομαι'];['v1spia---']
191;ἂρα;['ἄρα'];['g--------']
192;ἂρας;['ἀείρω'];['v-sapamn-']
193;ἂργα;['ἄρξ'];['n-p---na-']
194;ἂργυρον;['ἄργυρος'];['n-s---ma-']
195;ἂρχοντι;['ἄρχων'];['n-s---md-']
196;ἂρχοντος;['ἄρχων'];['n-s---mg-']
197;ἄ;['ὅς'];['p-p---na-']
198;ᾄδει;['ἀείδω'];['v3spia---']
199;ᾄδειν;['ἀείδω'];['v--pna---']
200;ᾄδεις;['ἀείδω'];['v2spia---']
201;ᾄδοιεν;['ἀείδω'];['v3ppoa---']
202;ᾄδομεν;['ἀείδω'];['v1ppia---']
203;ᾄδουσα;['ἀείδω'];['v-sppafn-']
204;ᾄδων;['ἀείδω'];['v-sppamn-']
205;ᾄσας;['ἀείδω'];['v-sapamn-']
206;ᾄττοντα;['ἀίσσω'];['v-sppama-']
207;ἄβουλον;['ἄβουλος'];['a-s---na-']
208;ἄγαλμα;['ἄγαλμα'];['n-s---na-']
209;ἄγαν;['ἄγαν'];['d--------']
210;ἄγγελός;['ἄγγελος'];['n-s---mn-']
211;ἄγγελον;['ἄγγελος'];['n-s---ma-']
212;ἄγγος;['ἄγγος'];['n-s---na-']
213;ἄγε;['ἄγω'];['v2spma---']
214;ἄγει;['ἄγω'];['v3spia---']
215;ἄγειν;['ἄγω'];['v--pna---']
216;ἄγνοιαν;['ἄγνοια'];['n-s---fa-']
217;ἄγουσι;['ἄγω'];['v3ppia---']
218;ἄγραν;['ἄγρα'];['n-s---fa-']
219;ἄγρας;['ἄγρα'];['n-p---fa-', 'n-s---fg-']
220;ἄγρια;['ἄγριος'];['a-p---nn-']
221;ἄγριαι;['ἄγριος'];['a-p---fn-']
222;ἄγριον;['ἄγριος'];['a-s---ma-']
223;ἄγριος;['ἄγριος'];['a-s---mn-']
224;ἄγροικος;['ἄγροικος'];['a-s---mn-']
225;ἄγων;['ἄγω'];['v-sppamn-']
226;ἄδειαν;['ἄδεια'];['n-s---fa-']
227;ἄδειπνος;['ἄδειπνος'];['a-s---fn-']
228;ἄδετε;['ἄδετος'];['a-s---mv-']
229;ἄδηλα;['ἄδηλος'];['a-p---nn-']
230;ἄδηλον;['ἄδηλος'];['a-s---fa-']
231;ἄδικοι;['ἄδικος'];['a-p---mn-']
232;ἄθλιαι;['ἄθλιος'];['a-p---fn-']
233;ἄθλιοι;['ἄθλιος'];['a-p---mn-']
234;ἄθλιος;['ἄθλιος'];['a-s---mn-']
235;ἄκαρπον;['ἄκαρπος'];['a-s---nn-', 'a-s---na-']
236;ἄκοντες;['ἄκων'];['a-p---mn-']
237;ἄκριτον;['ἄκριτος'];['a-s---nn-']
238;ἄκροις;['ἄκρος'];['a-p---nd-', 'a-p---md-']
239;ἄκων;['ἄκων'];['a-s---mn-']
240;ἄλαλος;['ἄλαλος'];['a-s---mn-']
241;ἄλγει;['ἄλγος'];['n-s---nd-']
242;ἄλευρα;['ἄλευρον'];['n-p---na-']
243;ἄλλα;['ἄλλος'];['p-p---na-', 'p-p---nn-']
244;ἄλλαι;['ἄλλος'];['p-p---fn-']
245;ἄλλαις;['ἄλλος'];['p-p---fd-']
246;ἄλλας;['ἄλλος'];['p-p---fa-']
247;ἄλληλα;['ἀλλήλων'];['p-p---na-']
248;ἄλλην;['ἄλλος'];['p-s---fa-']
249;ἄλλο;['ἄλλος'];['p-s---na-', 'p-s---nn-']
250;ἄλλοθεν;['ἄλλοθεν'];['d--------']
251;ἄλλοι;['ἄλλος'];['p-p---mn-']
252;ἄλλοις;['ἄλλος'];['p-p---md-']
253;ἄλλον;['ἄλλος'];['p-s---ma-']
254;ἄλλος;['ἄλλος'];['p-s---mn-']
255;ἄλλοτε;['ἄλλοτε'];['d--------']
256;ἄλλου;['ἄλλος'];['p-s---mg-']
257;ἄλλους;['ἄλλος'];['p-p---ma-']
258;ἄλλῶς;['ἄλλως'];['d--------']
259;ἄλλων;['ἄλλος'];['p-p---mg-', 'p-p---ng-', 'p-p---fg-']
260;ἄλλως;['ἄλλος'];['d--------']
261;ἄλογα;['ἄλογος'];['a-p---na-', 'a-p---nn-']
262;ἄλση;['ἄλσος'];['n-p---na-']
263;ἄμεινόν;['ἀγαθός'];['a-s---nnc']
264;ἄμεινον;['ἀγαθός'];['a-s---nnc']
265;ἄμμων;['ἄμμος'];['n-p---fg-']
266;ἄμοιρος;['ἄμοιρος'];['a-s---mn-']
267;ἄμουσος;['ἄμουσος'];['a-s---mn-']
268;ἄμπελος;['ἄμπελος'];['n-s---fn-']
269;ἄμυναν;['ἄμυνα'];['n-s---fa-']
270;ἄμφω;['ἄμφω'];['p-d---mn-', 'p-d---mg-']
271;ἄν;['ἐάν', 'ἄν'];['c--------', 'g--------']
272;ἄνακτα;['ἄναξ'];['n-s---ma-']
273;ἄνανδρος;['ἄνανδρος'];['a-s---fn-']
274;ἄναξ;['ἄναξ'];['n-s---mv-']
275;ἄνδρα;['ἀνήρ'];['n-s---ma-']
276;ἄνδρας;['ἀνήρ'];['n-p---ma-']
277;ἄνδρες;['ἀνήρ'];['n-p---mv-', 'n-p---mn-']
278;ἄνδρ’;['ἀνήρ'];['n-s---ma-']
279;ἄνεισι;['ἀνέρχομαι'];['v3spia---']
280;ἄνεμοι;['ἄνεμος'];['n-p---mn-']
281;ἄνεμος;['ἄνεμος'];['n-s---mn-']
282;ἄνερ;['ἀνήρ'];['n-s---mv-']
283;ἄνεσις;['ἄνεσις'];['n-s---fn-']
284;ἄνευ;['ἄνευ'];['r--------']
285;ἄνθος;['ἄνθος'];['n-s---nn-']
