;form;lemmi;postag
0;(;['('];['u--------']
1;);[')'];['u--------']
2;,;[','];['u--------']
3;-δὲ;['δέ'];['c--------']
4;-δέ;['δέ'];['c--------']
5;-δ’;['δέ'];['c--------']
6;-τε;['τε'];['c--------', 'g--------']
7;-τ’;['τε'];['c--------']
8;.;['.'];['u--------']
9;";";"[';']";['u--------']
10;E;['E'];['z--------']
11;G?;['G'];['z--------']
12;·;['·'];['u--------']
13;Ὁκόταν;['Ὁπόταν'];['c--------']
14;Πλείστοισι;['Πλεῖστος'];['n-p---md-']
15;Τὰ;['Τά'];['r--------']
16;ἂν;['ἄν'];['g--------']
17;ἄγαν;['ἄγαν'];['d--------']
18;ἄγειν;['ἄγω'];['v--pna---']
19;ἄγκων;['ἄγκων'];['n-s---mn-']
20;ἄγνοιαι;['ἄγνοια'];['n-p---fn-']
21;ἄγοι;['ἄγω'];['v3spoa---']
22;ἄκος;['ἄκος'];['n-s---nn-']
23;ἄκρα;['ἄκρον', 'ἄκρος'];['n-p---nn-', 'a-p---na-', 'n-p---na-']
24;ἄκρεα;['ἄκρις'];['n-s---fa-']
25;ἄκρη;['ἄκρος'];['a-s---fn-']
26;ἄκρῃ;['ἄκρος'];['a-s---fd-']
27;ἄκρην;['ἄκρος'];['a-s---fa-']
28;ἄκρης;['ἄκρα'];['n-s---fg-']
29;ἄκροισι;['ἄκρον'];['n-p---nd-']
30;ἄκρον;['ἄκρος'];['a-s---ma-', 'a-s---na-']
31;ἄκρου;['ἄκρον'];['n-s---ng-']
32;ἄλθεξις;['ἄλθεξις'];['n-s---fn-']
33;ἄλλα;['ἄλλος'];['p-p---na-', 'p-p---nn-']
34;ἄλλας;['ἄλλος'];['p-p---fa-']
35;ἄλλη;['ἄλλος'];['p-s---fn-']
36;ἄλλῃ;['ἄλλος', 'ἄλλῃ'];['d--------', 'p-s---fd-']
37;ἄλλῃσιν;['ἄλλος'];['p-p---fd-']
38;ἄλληλα;['ἀλλήλων'];['p-p---na-']
39;ἄλλην;['ἄλλος'];['p-s---fa-']
40;ἄλλης;['ἄλλος'];['p-s---fg-']
41;ἄλλο;['ἄλλος'];['p-s---na-', 'p-s---nn-']
42;ἄλλοι;['ἄλλος'];['p-p---mn-']
43;ἄλλοισι;['ἄλλος'];['p-p---nd-']
44;ἄλλος;['ἄλλος'];['p-s---mn-']
45;ἄλλοτε;['ἄλλοτε'];['d--------']
46;ἄλλου;['ἄλλος'];['p-s---mg-', 'p-s---ng-']
47;ἄλλους;['ἄλλος'];['p-p---ma-']
48;ἄλλῳ;['ἄλλος'];['p-s---nd-', 'p-s---md-']
49;ἄλλων;['ἄλλος'];['p-p---mg-', 'p-p---fg-', 'p-p---ng-']
50;ἄλλως;['ἄλλος'];['d--------']
51;ἄμεινον;['ἀγαθός'];['a-s---nnc']
52;ἄμφω;['ἄμφω'];['p-d---nn-', 'p-d---ma-']
53;ἄν;['ἄν'];['g--------']
54;ἄνδρες;['ἀνήρ'];['n-p---mn-']
55;ἄνευ;['ἄνευ'];['r--------']
56;ἄνθρωποι;['ἄνθρωπος'];['n-p---mn-']
57;ἄνθρωπον;['ἄνθρωπος'];['n-s---ma-']
58;ἄνισά;['ἄνισος'];['a-p---nn-']
59;ἄνω;['ἄνω'];['d--------']
60;ἄνωθεν;['ἄνωθεν'];['d--------']
61;ἄξιον;['ἄξιος'];['a-s---nn-']
62;ἄπονος;['ἄπονος'];['a-s---fn-']
63;ἄρα;['ἄρα'];['g--------']
64;ἄρθρα;['ἄρθρον'];['n-p---nn-', 'n-p---na-']
65;ἄρθρον;['ἄρθρον'];['n-s---nn-', 'n-s---na-']
66;ἄρθρου;['ἄρθρον'];['n-s---ng-']
67;ἄρθρῳ;['ἄρθρον'];['n-s---nd-']
68;ἄρθρων;['ἄρθρον'];['n-p---ng-']
69;ἄριστον;['ἀγαθός', 'ἄριστον'];['n-s---nn-', 'a-s---nns']
70;ἄρμενα;['ἀραρίσκω'];['v-papmnn-']
71;ἄρμενον;['ἀραρίσκω'];['v-sapmna-']
72;ἄρχεσθαι;['ἄρχω'];['v--pnm---']
73;ἄσαρκον;['ἄσαρκος'];['a-s---nn-']
74;ἄτεχνον;['ἄτεχνος'];['a-s---nn-', 'a-s---na-']
75;ἄτεχνος;['ἄτεχνος'];['a-s---mn-']
76;ἄφοδον;['ἄφοδος'];['n-s---fa-']
77;ἄχθεος;['ἄχθος'];['n-s---ng-']
78;ἄχθος;['ἄχθος'];['n-s---nn-', 'n-s---na-']
79;ἄχρης;['ἄχρος'];['a-s---fg-']
80;ἄχρις;['ἄχρι'];['r--------']
81;ἄχροον;['ἄχροος'];['a-s---na-']
82;ἀγάγῃς;['ἄγω'];['v2sasa---']
83;ἀγάγοι;['ἄγω'];['v3saoa---']
84;ἀγαγεῖν;['ἄγω'];['v--ana---']
85;ἀγαθὰς;['ἀγαθός'];['a-p---fa-']
86;ἀγαθὴ;['ἀγαθός'];['a-s---fn-']
87;ἀγαθὸν;['ἀγαθός'];['a-s---nn-', 'a-s---na-']
88;ἀγαθόν;['ἀγαθός'];['a-s---na-']
89;ἀγαθῶς;['ἀγαθός'];['d--------']
90;ἀγκύλας;['ἀγκύλη'];['n-p---fa-']
91;ἀγκὼν;['ἀγκών'];['n-s---mn-']
92;ἀγκῶνα;['ἀγκών'];['n-s---ma-']
93;ἀγκῶνος;['ἀγκών'];['n-s---mg-']
94;ἀδιαστρέπτως;['ἀδιαστρέπτως'];['d--------']
95;ἀδύνατοι;['ἀδύνατος'];['a-p---mn-']
96;ἀδύνατον;['ἀδύνατος'];['a-s---nn-']
97;ἀδύνατος;['ἀδύνατος'];['a-s---mn-']
98;ἀθρόον;['ἀθρόος'];['a-s---na-']
99;ἀθροωτάτου;['ἀθρόος'];['a-s---ngs']
100;ἀκάθαρτον;['ἀκάθαρτος'];['a-s---nn-']
101;ἀκάματος;['ἀκάματος'];['a-s---fn-']
102;ἀκαθαρσίην;['ἀκαθαρσία'];['n-s---fa-']
103;ἀκαμπτότατόν;['ἄκαμπτος'];['a-s---nas']
104;ἀκέεσθαι;['ἀκέομαι'];['v--pnm---']
105;ἀκολουθέειν;['ἀκολουθέω'];['v--pna---']
106;ἀκοντισμῷ;['ἀκοντισμός'];['n-s---md-']
107;ἀκραίοις;['ἀκραῖος'];['a-p---nd-']
108;ἀκρητοχόλων;['ἀκρητόχολος'];['a-p---mg-']
109;ἀκριβεστέρην;['ἀκριβής'];['a-s---fac']
110;ἀλγέει;['ἀλγέω'];['v3spia---']
111;ἀλλ;['ἀλλ̅'];['c--------']
112;ἀλλα;['ἀλλα'];['n-p---na-']
113;ἀλλὰ;['ἀλλά'];['c--------']
114;ἀλλά;['ἀλλά'];['c--------']
115;ἀλλήλας;['ἀλλήλων'];['p-p---fa-']
116;ἀλλήλῃσιν;['ἀλλήλων'];['p-p---fd-']
117;ἀλλήλοισι;['ἀλλήλων'];['p-p---md-']
118;ἀλλήλοισιν;['ἀλλήλων'];['p-p---md-']
119;ἀλλήλους;['ἀλλήλων'];['p-p---ma-']
120;ἀλλόκοτον;['ἀλλόκοτος'];['a-s---na-']
121;ἀλλ’;['ἀλλά'];['c--------']
122;ἀμαθέας;['ἀμαθής'];['a-p---ma-']
123;ἀμελείης;['ἀμέλεια'];['n-s---fg-']
124;ἀμηχανοποιέεσθαι;['ἀμηχανοποιέομαι'];['v--pnm---']
125;ἀμφὶ;['ἀμφί'];['r--------']
126;ἀμφιβάλλοντα;['ἀμφιβάλλω'];['v-sppama-']
127;ἀμφιθνήσκουσιν;['ἀμφιθνήσκω'];['v3ppia---']
128;ἀμφιφλᾶται;['ἀμφιφλάω'];['v3spim---']
129;ἀμφιφλασθείσης;['ἀμφιφλάννυμι'];['v-sappfg-']
130;ἀμφότερα;['ἀμφότερος'];['a-p---na-', 'a-p---nn-']
131;ἀμφοτέρων;['ἀμφότερος'];['a-p---ng-']
132;ἀνάγκαι;['ἀνάγκη'];['n-p---fn-']
133;ἀνάγκη;['ἀνάγκη'];['n-s---fn-']
134;ἀνάγκῃ;['ἀνάγκη'];['n-s---fd-']
135;ἀνάκλασις;['ἀνάκλασις'];['n-s---fn-']
136;ἀνάψυξιν;['ἀνάψυξις'];['n-s---fa-']
137;ἀναγκάζειν;['ἀναγκάζω'];['v--pna---']
138;ἀναγκάζοιο;['ἀναγκάζω'];['v2spom---']
139;ἀναγκάζοιτ’;['ἀναγκάζω'];['v3spom---']
140;ἀναγκάζομαι;['ἀναγκάζω'];['v1spim---']
141;ἀναγκάζονται;['ἀναγκάζω'];['v3ppim---']
142;ἀναγκάζουσιν;['ἀναγκάζω'];['v3ppia---']
143;ἀναγκαζόμενος;['ἀναγκάζω'];['v-sppmmn-']
144;ἀναγκαζομένου;['ἀναγκάζω'];['v-sppmmg-']
145;ἀναγκαίως;['ἀναγκαῖος'];['d--------']
146;ἀναγκαῖον;['ἀναγκαῖος'];['a-s---nn-']
147;ἀναγκέων;['ἀνάγκη'];['n-p---fg-']
148;ἀνακλῶν;['ἀνακλάω'];['v-sppamn-']
149;ἀνακομίζεσθαι;['ἀνακομίζω'];['v--pnm---']
150;ἀναλαμβάνεται;['ἀναλαμβάνω'];['v3spim---']
151;ἀναλαμβανομένη;['ἀναλαμβάνω'];['v-sppmfn-']
152;ἀναλελαμμένην;['ἀναλαμβάνω'];['v-srpmfa-']
153;ἀναμαρτητότερον;['ἀναμάρτητος'];['a-s---mac']
154;ἀναπαλινδρομῆσαι;['ἀναπαλινδρομέω'];['v--ana---']
155;ἀναπαύεσθαι;['ἀναπαύω'];['v--pnm---']
156;ἀναπλῶσαι;['ἀναπλέω'];['v--ana---']
157;ἀναρρηγνύμενα;['ἀναρρήγνυμι'];['v-pppmnn-']
158;ἀναστῆναι;['ἀνίστημι'];['v--ana---']
159;ἀναψύχειν;['ἀναψύχω'];['v--pna---']
160;ἀνδρός;['ἀνήρ'];['n-s---mg-']
161;ἀνδρῶν;['ἀνήρ'];['n-p---mg-']
162;ἀνειμένους;['ἀνίημι'];['v-prpmma-']
163;ἀνεκπύητον;['ἀνεκπύητος'];['a-s---na-']
164;ἀνεπίδετα;['ἀνεπίδετος'];['a-p---na-']
165;ἀνεψύχθαι;['ἀνεψύχομαι'];['v--rnm---']
166;ἀνὴρ;['ἀνήρ'];['n-s---mn-']
167;ἀνθρώποις;['ἄνθρωπος'];['n-p---md-']
168;ἀνθρώπου;['ἄνθρωπος'];['n-s---mg-']
169;ἀνίσους;['ἄνισος'];['a-p---ma-']
170;ἀνομοίως;['ἀνόμοιος'];['d--------']
171;ἀντερείδοντα;['ἀντερείδω'];['v-sppama-']
172;ἀντὶ;['ἀντί'];['r--------']
173;ἀντίσχειν;['ἀντίσχω'];['v--pna---']
174;ἀντικατατείνειν;['ἀντικατατείνω'];['v--pna---']
175;ἀντικνήμιον;['ἀντικνήμιον'];['n-s---na-']
176;ἀντικνημίου;['ἀντικνήμιον'];['n-s---ng-']
177;ἀντιπεριβάλλοντα;['ἀντιπεριβάλλω'];['v-sppama-']
178;ἀντιτείνειν;['ἀντιτείνω'];['v--pna---']
179;ἀντιτείνοιτο;['ἀντιτείνω'];['v3spom---']
180;ἀντιτείνοντες;['ἀντιτείνω'];['v-pppamn-']
181;ἀντωθέειν;['ἀντωθέω'];['v--pna---']
182;ἀνώτερον;['ἀνώτερος'];['a-s---na-']
183;ἀνωτέρω;['ἀνώτερος'];['d--------']
184;ἀνωφελὲς;['ἀνωφελής'];['a-s---nn-']
185;ἀόχλως;['ἄοχλος'];['d--------']
186;ἀπάγνυται;['ἀπάγνυμι'];['v3spim---']
187;ἀπάγοιτο;['ἀπάγω'];['v3spom---']
188;ἀπαγῇ;['ἀπάγνυμι'];['v3sasp---']
189;ἀπαιωρέηται;['ἀπαιωρέομαι'];['v3spsm---']
190;ἀπαιωρεύμενον;['ἀπαιωρέομαι'];['v-sppmna-']
191;ἀπαιωρήματα;['ἀπαιώρημα'];['n-p---na-']
192;ἀπαιωρῆται;['ἀπαιωρέομαι'];['v3spsm---']
193;ἀπαιωρηθήσεται;['ἀπαιωρέομαι'];['v3sfip---']
194;ἀπέστη;['ἀφίστημι'];['v3saia---']
195;ἀπέχειν;['ἀπέχω'];['v--pna---']
196;ἀπέχεσθαι;['ἀπέχω'];['v--pnm---']
197;ἀπευθύνοντα;['ἀπευθύνω'];['v-sppama-']
198;ἀπίθυνται;['ἀπιθύνω'];['v3srim---']
199;ἀπιέναι;['ἀπέρχομαι'];['v--pna---']
200;ἀπὸ;['ἀπό'];['r--------']
201;ἀπόστασιν;['ἀπόστασις'];['n-s---fa-']
202;ἀπόστασις;['ἀπόστασις'];['n-s---fn-']
203;ἀπόχρη;['ἀποχράω'];['v3spia---']
204;ἀποβαίνει;['ἀποβαίνω'];['v3spia---']
205;ἀποβαίνῃ;['ἀποβαίνω'];['v3spsa---']
206;ἀποδείκνυσι;['ἀποδείκνυμι'];['v3spia---']
207;ἀποδείξειε;['ἀποδείκνυμι'];['v3saoa---']
208;ἀποδεῖξαι;['ἀποδείκνυμι'];['v--ana---']
209;ἀποδιδάξαι;['ἀποδιδάσκω'];['v--ana---']
210;ἀποκαυλισθῇ;['ἀποκαυλίζω'];['v3sasp---']
211;ἀπολαμβάνηται;['ἀπολαμβάνω'];['v3spsm---']
212;ἀπολαμβάνωνται;['ἀπολαμβάνω'];['v3ppsm---']
213;ἀπολείπειν;['ἀπολείπω'];['v--pna---']
214;ἀπολεπιδοῦσθαι;['ἀπολεπιδόομαι'];['v--pnm---']
215;ἀπολύουσι;['ἀπολύω'];['v3ppia---']
216;ἀπολύσαντα;['ἀπολύω'];['v-sapama-']
217;ἀπολύσας;['ἀπολύω'];['v-sapamn-']
218;ἀπολῦσαι;['ἀπολύω'];['v--ana---']
219;ἀπολυσίων;['ἀπόλυσις'];['n-p---fg-']
220;ἀπομάθημα;['ἀπομάθημα'];['n-s---na-']
221;ἀποπιέζοιτο;['ἀποπιέζω'];['v3spom---']
222;ἀποπιέσματα;['ἀποπίεσμα'];['n-p---nn-']
223;ἀποπρίειν;['ἀποπρίω'];['v--pna---']
224;ἀποπρῖσαι;['ἀποπρίω'];['v--ana---']
225;ἀπορέγει;['ἀπορέγω'];['v3spia---']
226;ἀπορέω;['ἀφοράω'];['v1spia---']
227;ἀπορήσαντι;['ἀπορέω'];['v-sapamd-']
228;ἀποστάσιες;['ἀπόστασις'];['n-p---fn-']
229;ἀποστατικὰ;['ἀποστατικός'];['a-p---na-']
230;ἀποστήσεσθαι;['ἀφίστημι'];['v--fnm---']
231;ἀποστήσεται;['ἀφίστημι'];['v3sfim---']
232;ἀποστῇ;['ἀφίστημι'];['v3sasa---']
233;ἀποστῆναι;['ἀφίστημι'];['v--ana---']
234;ἀποστησόμενα;['ἀφίστημι'];['v-pfpmna-']
235;ἀποστησομένων;['ἀφίστημι'];['v-pfpmng-']
236;ἀποσφίγξιες;['ἀπόσφιγξις'];['n-p---fn-']
237;ἀποτανύσας;['ἀποτανύω'];['v-sapamn-']
238;ἀποφυγήν;['ἀποφυγή'];['n-s---fa-']
239;ἀπύρετοι;['ἀπύρετος'];['a-p---mn-']
240;ἀπύρετος;['ἀπύρετος'];['a-s---mn-']
241;ἀπωθέειν;['ἀπωθέω'];['v--pna---']
242;ἀπ’;['ἀπό'];['r--------']
243;ἀραιότερα;['ἀραῖος'];['a-p---nnc']
244;ἀριστερὰ;['ἀριστερός'];['a-p---na-']
245;ἀριστερά;['ἀριστερός'];['a-p---na-']
246;ἀριστερῆς;['ἀριστερός'];['a-s---fg-']
247;ἀρκέει;['ἀρκέω'];['v3spia---']
248;ἀρκέοιεν;['ἀρκέω'];['v3ppoa---']
249;ἀρκέουσιν;['ἀρκέω'];['v3ppia---']
250;ἀρξάμενος;['ἄρχω'];['v-sapmmn-']
251;ἀρχὰς;['ἀρχή'];['n-p---fa-']
252;ἀρχαίην;['ἀρχαῖος'];['a-s---fa-']
253;ἀρχαίου;['ἀρχαῖος'];['a-s---ng-']
254;ἀρχαῖα;['ἀρχαῖος'];['a-p---na-']
255;ἀρχέει;['ἀρ́λχω'];['v3sfia---']
256;ἀρχέων;['ἀρχή'];['n-p---fg-']
257;ἀρχὴν;['ἀρχή'];['n-s---fa-']
258;ἀρχῆς;['ἀρχή'];['n-s---fg-']
259;ἀρχόμενον;['ἄρχω'];['v-sppmma-']
260;ἀρχόμενος;['ἄρχω'];['v-sppmmn-']
261;ἀρχῶν;['ἀρχή'];['n-p---fg-']
262;ἀσαρκότερος;['ἄσαρκος'];['a-s---mnc']
263;ἀσηρὸν;['ἀσηρός'];['a-s---nn-']
264;ἀσθενέστεραι;['ἀσθενής'];['a-p---fnc']
265;ἀσθενεστέρης;['ἀσθενής'];['a-s---fgc']
266;ἀσινέας;['ἀσινής'];['a-p---fa-']
267;ἀσινέστερα;['ἀσινής'];['a-p---nnc']
268;ἀσκέοντι;['ἀσκέω'];['v-sppamd-']
269;ἀστεργέστερον;['ἀστεργής'];['a-s---nac']
270;ἀσύμφορον;['ἀσύμφορος'];['a-s---nn-', 'a-s---fa-']
271;ἀσύνετοι;['ἀσύνετος'];['a-p---mn-']
