;form;lemmi;postag
0;,;[','];['u--------']
1;E;['E'];['z--------']
2;ἀλλ’;['ἀλλά'];['c--------']
3;ἀρχὰ;['ἀρχή'];['n-s---fn-']
4;ἁπάντων;['ἅπας'];['p-p---mg-']
5;αἰώνων;['αἰών'];['n-p---mg-']
6;αὐτὸς;['αὐτός'];['p-s---mn-']
7;αὐτοῦ;['αὐτός'];['p-s---mg-']
8;γενέσιάς;['γένεσις'];['n-p---fa-']
9;δὲ;['δέ'];['c--------']
10;διακοσμήσιος;['διακόσμησις'];['n-s---fg-']
11;δυνάμιων;['δύναμια'];['n-p---fg-']
12;ἔργων;['ἔργον'];['n-p---ng-']
13;ἐκτὸς;['ἐκτός'];['r--------']
14;ἐν;['ἐν'];['r--------']
15;ἐπισκοπῶν;['ἐπισκοπέω'];['v-sppamn-']
16;ἐργάτας;['ἐργάτης'];['n-p---ma-']
17;ἐστι;['εἰμί'];['v3spia---']
18;ἐὼν;['εἰμί'];['v-sppamn-']
19;ἑαυτῷ;['ἑαυτοῦ'];['p-s---md-']
20;εἷς;['εἷς'];['m-s---mn-']
21;θεὸς;['θεός'];['n-s---mn-']
22;καὶ;['καί'];['c--------']
23;κρᾶσις;['κρᾶσις'];['n-s---fn-']
24;κύκλῳ;['κύκλος'];['n-s---md-']
25;κύκλων;['κύκλος'];['n-p---mg-']
26;μὲν;['μέν'];['g--------']
27;νοῦς;['νόος'];['n-s---mn-']
28;ὁ;['ὁ'];['l-s---mn-']
29;ὅλος;['ὅλος'];['a-s---mn-']
30;ὅλῳ;['ὅλος'];['a-s---md-']
31;ὅλων;['ὅλος'];['a-p---mg-', 'a-p---ng-']
32;οὐρανῷ;['οὐρανός'];['n-s---md-']
33;οὐχ;['οὐ'];['d--------']
34;πάντων;['πᾶς'];['p-p---mg-', 'p-p---ng-']
35;πάσας;['πᾶς'];['p-p---fa-']
36;πατήρ;['πατήρ'];['n-s---mn-']
37;τὰς;['ὁ'];['l-p---fa-']
38;τᾶς;['ὁ'];['l-s---fg-']
39;τινες;['τις'];['p-p---cn-']
40;τῷ;['ὁ'];['l-s---md-']
41;τῶν;['ὁ'];['l-p---ng-', 'l-p---mg-']
42;ὑπονοοῦσιν;['ὑπονοέω'];['v3ppia---']
43;φωστὴρ;['φωστήρ'];['n-s---mn-']
44;ψύχωσις;['ψύχωσις'];['n-s---fn-']
45;ὥς;['ὡς'];['c--------']
