@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|137|1,1,πρότερον,πρότερον,d-------c,ADV
Leuven|0041-001|137|2,2,μέν,μέν,d--------,AuxY
Leuven|0041-001|137|3,3,",",",",u--------,AuxX
Leuven|0041-001|137|4,4,ὥσπερ,ὥσπερ,c--------,AuxC
Leuven|0041-001|137|5,5,ἔγραφόν,γράφω,v1siia---,ADV
Leuven|0041-001|137|6,6,σοι,σύ,p2s---cd-,OBJ
Leuven|0041-001|137|7,7,",",",",u--------,AuxX
Leuven|0041-001|137|8,8,δεκαετίαν,δεκαετία,n-s---fa-,OBJ
Leuven|0041-001|137|9,9,ἐκπληρώσας,ἐκπληρόω,v-sapamn-,ADV
Leuven|0041-001|137|10,10,",",",",u--------,AuxX
Leuven|0041-001|137|11,11,οὕτως,οὕτως,d--------,ADV
Leuven|0041-001|137|12,12,ἐπανέρχεσθαι,ἐπανέρχομαι,v--pne---,OBJ
Leuven|0041-001|137|13,13,πρὸς,πρός,r--------,AuxP
Leuven|0041-001|137|14,14,ὑμᾶς,σύ,p2p---ca-,OBJ
Leuven|0041-001|137|15,15,ἐβουλόμην,βούλομαι,v1siie---,PRED_CO
Leuven|0041-001|137|16,16,",",",",u--------,AuxX
Leuven|0041-001|137|17,17,νῦν,νῦν,d--------,ADV
Leuven|0041-001|137|18,18,δὲ,δέ,d--------,COORD
Leuven|0041-001|137|19,19,ἀκούσας,ἀκούω,v-sapamn-,ADV
Leuven|0041-001|137|20,20,τὴν,ὁ,l-s---fa-,ATR
Leuven|0041-001|137|21,21,τυραννίδα,τυραννίς,n-s---fa-,OBJ
Leuven|0041-001|137|22,22,οὐκ,οὐ,d--------,AuxZ
Leuven|0041-001|137|23,23,ἂν,ἄν,d--------,AuxY
Leuven|0041-001|137|24,24,ἔτι,ἔτι,d--------,ADV
Leuven|0041-001|137|25,25,ὑπομείναιμι,ὑπομένω,v1saoa---,PRED_CO
Leuven|0041-001|137|26,26,ἐν,ἐν,r--------,AuxP
Leuven|0041-001|137|27,27,ἀσφαλεστέρῳ,ἀσφαλής,a-s---mdc,PNOM
Leuven|0041-001|137|28,28,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|137|29,29,πολιτῶν,πολίτης,n-p---mg-,ATR
Leuven|0041-001|137|30,30,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0041-001|137|31,31,",",",",u--------,AuxX
Leuven|0041-001|137|32,32,ἀλλ’,ἀλλά,c--------,COORD
Leuven|0041-001|137|33,33,ᾗ,ᾗ,d--------,ADV
Leuven|0041-001|137|34,34,ἂν,ἄν,d--------,AuxY
Leuven|0041-001|137|35,35,ἄρξῃ,ἄρχω,v3sasa---,ADV
Leuven|0041-001|137|36,36,τὸ,ὁ,l-s---nn-,ATR
Leuven|0041-001|137|37,37,ἔαρ,ἔαρ,n-s---nn-,SBJ
Leuven|0041-001|137|38,38,",",",",u--------,AuxX
Leuven|0041-001|137|39,39,πλευσοῦμαι,πλέω,v1sfim---,PRED_CO
Leuven|0041-001|137|40,40,θεοῦ,θεός,n-s---mg-,SBJ
Leuven|0041-001|137|41,41,σώζοντος,σῴζω,v-sppamg-,ADV
Leuven|0041-001|137|42,42,(,̔,u--------,AuxG
Leuven|0041-001|137|43,43,νῦν,νῦν,d--------,ADV
Leuven|0041-001|137|44,44,μὲν,μέν,d--------,AuxY
Leuven|0041-001|137|45,45,γὰρ,γάρ,d--------,AuxY
