@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|141|1,1,ὄντως,ὄντως,d--------,ADV
Leuven|0041-001|141|2,2,Κλέαρχος,Κλέαρχος,n-s---mn-,SBJ
Leuven|0041-001|141|3,3,",",",",u--------,AuxX
Leuven|0041-001|141|4,4,ὥς,ὡς,c--------,AuxC
Leuven|0041-001|141|5,5,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|0041-001|141|6,6,ἔγραφες,γράφω,v2siia---,ADV
Leuven|0041-001|141|7,7,",",",",u--------,AuxX
Leuven|0041-001|141|8,8,οὐχ,οὐ,d--------,AuxZ
Leuven|0041-001|141|9,9,οὕτως,οὕτως,d--------,ADV
Leuven|0041-001|141|10,10,Σειληνὸν,Σειληνός,n-s---ma-,OBJ
Leuven|0041-001|141|11,11,δέδοικε,δείδω,v3sria---,PRED
Leuven|0041-001|141|12,12,κατειληφότα,καταλαμβάνω,v-srpama-,ATR
Leuven|0041-001|141|13,13,αὐτοῦ,αὐτός,p-s---mg-,ATR
Leuven|0041-001|141|14,14,τὸ,ὁ,l-s---na-,ATR
Leuven|0041-001|141|15,15,φρούριον,φρούριον,n-s---na-,OBJ
Leuven|0041-001|141|16,16,ὡς,ὡς,c--------,AuxC
Leuven|0041-001|141|17,17,ἡμᾶς,ἐγώ,p1p---ca-,SBJ
Leuven|0041-001|141|18,18,φιλοσοφοῦντας,φιλοσοφέω,v-pppama-,OBJ
Leuven|0041-001|141|19,19,.,.,u--------,AuxK
"""""",20,[0],"""""","""""",PRED
