@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|61|1,1,Περίνθιοι,Περίνθιος,a-p---mn-,SBJ
Leuven|0041-001|61|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0041-001|61|3,3,ὑπὸ,ὑπό,r--------,AuxP
Leuven|0041-001|61|4,4,Θρᾳκῶν,Θρᾷξ,a-p---mg-,OBJ
Leuven|0041-001|61|5,5,ἐπολεμοῦντο,πολεμέω,v3piie---,PRED_CO
Leuven|0041-001|61|6,6,",",",",u--------,AuxX
Leuven|0041-001|61|7,7,καὶ,καί,c--------,AuxY
Leuven|0041-001|61|8,8,τοῦτο,οὗτος,p-s---na-,OBJ
Leuven|0041-001|61|9,9,οἱ,ὁ,l-p---mn-,ATR
Leuven|0041-001|61|10,10,πάντα,πᾶς,a-p---na-,OBJ
Leuven|0041-001|61|11,11,ἀγνοήσαντες,ἀγνοέω,v-papamn-,ATR
Leuven|0041-001|61|12,12,ἡμεῖς,ἐγώ,p1p---cn-,SBJ
Leuven|0041-001|61|13,13,οὐκ,οὐ,d--------,AuxZ
Leuven|0041-001|61|14,14,ἐπυθόμεθα,πυνθάνομαι,v1paim---,PRED_CO
Leuven|0041-001|61|15,15,",",",",u--------,AuxX
Leuven|0041-001|61|16,16,καίπερ,καίπερ,d--------,AuxZ
Leuven|0041-001|61|17,17,δώδεκα,δώδεκα,m--------,ATR
Leuven|0041-001|61|18,18,ἡμέρας,ἡμέρα,n-p---fa-,OBJ
Leuven|0041-001|61|19,19,ἐν,ἐν,r--------,AuxP
Leuven|0041-001|61|20,20,Βυζαντίῳ,Βυζάντιον,n-s---nd-,ADV
Leuven|0041-001|61|21,21,διατρίψαντες,διατρίβω,v-papamn-,ADV
Leuven|0041-001|61|22,22,",",",",u--------,AuxX
Leuven|0041-001|61|23,23,ἀλλ’,ἀλλά,c--------,COORD
Leuven|0041-001|61|24,24,ὡς,ὡς,c--------,AuxC
Leuven|0041-001|61|25,25,εἰκὸς,εἰκός,v-srpann-,PNOM
Leuven|0041-001|61|26,26,αἰφνίδιος,αἰφνίδιος,a-s---fn-,PNOM
Leuven|0041-001|61|27,27,ἡ,ὁ,l-s---fn-,ATR
Leuven|0041-001|61|28,28,καταδρομὴ,καταδρομή,n-s---fn-,SBJ
Leuven|0041-001|61|29,29,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|61|30,30,βαρβάρων,βάρβαρος,a-p---mg-,ATR
Leuven|0041-001|61|31,31,ἐγένετο,γίγνομαι,v3saim---,PRED_CO
Leuven|0041-001|61|32,32,.,.,u--------,AuxK
"""""",33,[0],"""""","""""",PRED
