@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|91|1,1,ἀλλὰ,ἀλλά,c--------,AuxY
Leuven|0041-001|91|2,2,τὸ,ὁ,l-s---na-,ATR
Leuven|0041-001|91|3,3,ἀστάθμητον,ἀστάθμητος,a-s---nn-,SBJ_CO
Leuven|0041-001|91|4,4,αὐτοῦ,αὐτός,p-s---mg-,ATR
Leuven|0041-001|91|5,5,καὶ,καί,c--------,COORD
Leuven|0041-001|91|6,6,πετόμενον,πέτομαι,v-sppenn-,SBJ_CO
Leuven|0041-001|91|7,7,οὐδὲ,οὐδέ,d--------,AuxZ
Leuven|0041-001|91|8,8,ταύτην,οὗτος,p-s---fa-,ATR
Leuven|0041-001|91|9,9,ἐπιδέχεται,ἐπιδέχομαι,v3spie---,PRED
Leuven|0041-001|91|10,10,τὴν,ὁ,l-s---fa-,ATR
Leuven|0041-001|91|11,11,φρόνησιν,φρόνησις,n-s---fa-,OBJ
Leuven|0041-001|91|12,12,",",",",u--------,AuxX
Leuven|0041-001|91|13,13,ἵνα,ἵνα,c--------,AuxC
Leuven|0041-001|91|14,14,ὅς,ὅς,p-s---mn-,PNOM
Leuven|0041-001|91|15,15,τέ,τε,d--------,AuxY
Leuven|0041-001|91|16,16,ἐστιν,εἰμί,v3spia---,OBJ_CO
Leuven|0041-001|91|17,17,εἰδῇ,οἶδα,v3srsa---,ADV
Leuven|0041-001|91|18,18,καὶ,καί,c--------,AuxY
Leuven|0041-001|91|19,19,εἰς,εἰς,r--------,AuxP
Leuven|0041-001|91|20,20,ὃ,ὅς,p-s---na-,ADV
Leuven|0041-001|91|21,21,χρήσιμος,χρήσιμος,a-s---mn-,PNOM
Leuven|0041-001|91|22,22,·,·,u--------,AuxK
"""""",23,[0],"""""","""""",PRED
