@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|177|1,1,οὐ,οὐ,d--------,AuxZ
Leuven|0041-001|177|2,2,μόνον,μόνον,d--------,ADV
Leuven|0041-001|177|3,3,δὲ,δέ,d--------,AuxY
Leuven|0041-001|177|4,4,ἐγώ,ἐγώ,p1s---cn-,SBJ
Leuven|0041-001|177|5,5,",",",",u--------,AuxX
Leuven|0041-001|177|6,6,ὃ,ὅς,p-s---na-,OBJ
Leuven|0041-001|177|7,7,ἂν,ἄν,d--------,AuxY
Leuven|0041-001|177|8,8,πάσχω,πάσχω,v1spsa---,ADV
Leuven|0041-001|177|9,9,",",",",u--------,AuxX
Leuven|0041-001|177|10,10,ἐλεύθερος,ἐλεύθερος,a-s---mn-,PNOM
Leuven|0041-001|177|11,11,",",",",u--------,AuxX
Leuven|0041-001|177|12,12,ἀλλὰ,ἀλλά,c--------,COORD
Leuven|0041-001|177|13,13,καὶ,καί,d--------,AuxZ
Leuven|0041-001|177|14,14,Κλέαρχος,Κλέαρχος,n-s---mn-,SBJ
Leuven|0041-001|177|15,15,",",",",u--------,AuxX
Leuven|0041-001|177|16,16,ὃ,ὅς,p-s---na-,OBJ
Leuven|0041-001|177|17,17,ἂν,ἄν,d--------,AuxY
Leuven|0041-001|177|18,18,διαθῇ,διατίθημι,v3sasa---,ADV
Leuven|0041-001|177|19,19,με,ἐγώ,p1s---ca-,OBJ
Leuven|0041-001|177|20,20,",",",",u--------,AuxX
Leuven|0041-001|177|21,21,δοῦλος,δοῦλος,n-s---mn-,PNOM
Leuven|0041-001|177|22,22,γενήσεται,γίνομαι,v3sfim---,PRED_CO
Leuven|0041-001|177|23,23,·,·,u--------,AuxK
"""""",24,[0],"""""","""""",PRED
