@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|28|1,1,οὐ,οὐ,d--------,AuxZ
Leuven|0041-001|28|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0041-001|28|3,3,δέος,δέος,n-s---nn-,SBJ
Leuven|0041-001|28|4,4,μὴ,μή,c--------,AuxC
Leuven|0041-001|28|5,5,διαφύγῃ,διαφεύγω,v3sasa---,ATR
Leuven|0041-001|28|6,6,βουλευομένους,βουλεύω,v-pppema-,OBJ
Leuven|0041-001|28|7,7,τὸ,ὁ,l-s---nn-,ATR
Leuven|0041-001|28|8,8,πρᾶγμα,πρᾶγμα,n-s---nn-,SBJ
Leuven|0041-001|28|9,9,ἐφ’,ἐπί,r--------,AuxP
Leuven|0041-001|28|10,10,ὑμῖν,σύ,p2p---cd-,ADV
Leuven|0041-001|28|11,11,κείμενον,κεῖμαι,v-srpenn-,ATR
Leuven|0041-001|28|12,12,"""\""""","""\""""",u--------,AuxG
Leuven|0041-001|28|13,13,.,.,u--------,AuxK
"""""",14,[0],"""""","""""",PRED
