@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|130|1,1,ὠφελιμώτερος,ὠφέλιμος,a-s---mnc,PNOM
Leuven|0041-001|130|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0041-001|130|3,3,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0041-001|130|4,4,οἷς,ὅς,p-p---md-,OBJ
Leuven|0041-001|130|5,5,συμπαθῶ,συμπαθέω,v1spia---,ATR
Leuven|0041-001|130|6,6,βούλομαι,βούλομαι,v1spie---,PRED_CO
Leuven|0041-001|130|7,7,",",",",u--------,AuxX
Leuven|0041-001|130|8,8,τοῦτο,οὗτος,p-s---na-,ATR
Leuven|0041-001|130|9,9,δὲ,δέ,d--------,COORD
Leuven|0041-001|130|10,10,τὸ,ὁ,l-s---na-,ATR
Leuven|0041-001|130|11,11,κράτος,κράτος,n-s---na-,OBJ
Leuven|0041-001|130|12,12,μόνη,μόνος,a-s---fn-,ADV
Leuven|0041-001|130|13,13,ἔχει,ἔχω,v3spia---,PRED_CO
Leuven|0041-001|130|14,14,φιλοσοφία,φιλοσοφία,n-s---fn-,SBJ
Leuven|0041-001|130|15,15,.,.,u--------,AuxK
"""""",16,[0],"""""","""""",PRED
