@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|83|1,1,χρημάτων,χρῆμα,n-p---ng-,ATR
Leuven|0041-001|83|2,2,δὲ,δέ,d--------,AuxY
Leuven|0041-001|83|3,3,οὐδὲ,οὐδέ,d--------,AuxZ
Leuven|0041-001|83|4,4,εἷς,εἷς,m-s---mn-,ATR
Leuven|0041-001|83|5,5,ἔμοιγε,ἐγώ,p1s---cd-,PNOM
Leuven|0041-001|83|6,6,πόθος,πόθος,n-s---mn-,SBJ
Leuven|0041-001|83|7,7,",",",",u--------,AuxX
Leuven|0041-001|83|8,8,καὶ,καί,d--------,AuxZ
Leuven|0041-001|83|9,9,μάλιστα,μάλα,d-------s,ADV
Leuven|0041-001|83|10,10,ἐν,ἐν,r--------,AuxP
Leuven|0041-001|83|11,11,Ἀθήναις,Ἀθῆναι,n-p---fd-,PNOM
Leuven|0041-001|83|12,12,τε,τε,c--------,AuxY
Leuven|0041-001|83|13,13,ὄντι,εἰμί,v-sppamd-,ADV_CO
Leuven|0041-001|83|14,14,καὶ,καί,c--------,COORD
Leuven|0041-001|83|15,15,Πλάτωνι,Πλάτων,n-s---md-,OBJ
Leuven|0041-001|83|16,16,διαλεγομένῳ,διαλέγω,v-sppemd-,ADV_CO
Leuven|0041-001|83|17,17,",",",",u--------,AuxX
Leuven|0041-001|83|18,18,ἐπεὶ,ἐπεί,c--------,AuxC
Leuven|0041-001|83|19,19,καὶ,καί,d--------,AuxZ
Leuven|0041-001|83|20,20,ἄτοπον,ἄτοπος,a-s---nn-,PNOM
Leuven|0041-001|83|21,21,ἴσως,ἴσως,d--------,ADV
Leuven|0041-001|83|22,22,",",",",u--------,AuxX
Leuven|0041-001|83|23,23,πεπλευκέναι,πλέω,v--rna---,SBJ_CO
Leuven|0041-001|83|24,24,μὲν,μέν,d--------,AuxY
Leuven|0041-001|83|25,25,ἡμᾶς,ἐγώ,p1p---ca-,SBJ
Leuven|0041-001|83|26,26,εἰς,εἰς,r--------,AuxP
Leuven|0041-001|83|27,27,τὴν,ὁ,l-s---fa-,ATR
Leuven|0041-001|83|28,28,Ἑλλάδα,Ἑλλάς,n-s---fa-,OBJ
Leuven|0041-001|83|29,29,",",",",u--------,AuxX
Leuven|0041-001|83|30,30,ἵνα,ἵνα,c--------,AuxC
Leuven|0041-001|83|31,31,ἧττον,ἥσσων,a-s---nac,ADV
Leuven|0041-001|83|32,32,φιλοχρήματοι,φιλοχρήματος,a-p---mn-,PNOM
Leuven|0041-001|83|33,33,γενώμεθα,γίγνομαι,v1pasm---,ADV
Leuven|0041-001|83|34,34,",",",",u--------,AuxX
Leuven|0041-001|83|35,35,μηδὲν,"""""","""""",SBJ
Leuven|0041-001|83|36,36,δ’,δέ,d--------,COORD
Leuven|0041-001|83|37,37,ἧττον,ἥσσων,a-s---nac,ADV
Leuven|0041-001|83|38,38,καὶ,καί,d--------,AuxZ
Leuven|0041-001|83|39,39,ἐκ,ἐκ,r--------,AuxP
Leuven|0041-001|83|40,40,Πόντου,Πόντος,n-s---mg-,ADV
Leuven|0041-001|83|41,41,πλεῖν,πλέω,v--pna---,SBJ_CO
Leuven|0041-001|83|42,42,πρὸς,πρός,r--------,AuxP
Leuven|0041-001|83|43,43,ἡμᾶς,ἐγώ,p1p---ca-,OBJ
Leuven|0041-001|83|44,44,τὴν,ὁ,l-s---fa-,ATR
Leuven|0041-001|83|45,45,φιλοχρημοσύνην,φιλοχρημοσύνη,n-s---fa-,SBJ
Leuven|0041-001|83|46,46,.,.,u--------,AuxK
Leuven|0041-001|83|47,47,[0],"""""","""""",ADV
"""""",48,[1],"""""","""""",PRED
