@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|224|1,1,μηδαμῶς,μηδαμῶς,d--------,ADV
Leuven|0041-001|224|2,2,",",",",u--------,AuxX
Leuven|0041-001|224|3,3,ἀλλὰ,ἀλλά,c--------,COORD
Leuven|0041-001|224|4,4,σοὶ,σύ,p2s---cd-,ADV
Leuven|0041-001|224|5,5,μὲν,μέν,d--------,AuxY
Leuven|0041-001|224|6,6,ἀποκείσθω,ἀπόκειμαι,v3spme---,PRED_CO
Leuven|0041-001|224|7,7,πολέμων,πόλεμος,n-p---mg-,ATR_CO
Leuven|0041-001|224|8,8,ἔργα,ἔργον,n-p---nn-,SBJ
Leuven|0041-001|224|9,9,καὶ,καί,c--------,ATR
Leuven|0041-001|224|10,10,πολιτειῶν,πολιτεία,n-p---fg-,ATR_CO
Leuven|0041-001|224|11,11,",",",",u--------,AuxX
Leuven|0041-001|224|12,12,ἡμῖν,ἐγώ,p1p---cd-,OBJ
Leuven|0041-001|224|13,13,δὲ,δέ,d--------,COORD
Leuven|0041-001|224|14,14,τῆς,ὁ,l-s---fg-,ATR
Leuven|0041-001|224|15,15,σῆς,σός,a-s---fg-,ATR
Leuven|0041-001|224|16,16,τοσοῦτον,τοσοῦτος,p-s---na-,ADV
Leuven|0041-001|224|17,17,ἀποτετμήσθω,ἀποτέμνω,v3srme---,PRED_CO
Leuven|0041-001|224|18,18,τυραννίδος,τυραννίς,n-s---fg-,ATR
Leuven|0041-001|224|19,19,",",",",u--------,AuxX
Leuven|0041-001|224|20,20,ὅσον,ὅσος,p-s---nn-,SBJ
Leuven|0041-001|224|21,21,ἀταράχῳ,ἀτάρακτος,a-s---md-,ATR
Leuven|0041-001|224|22,22,ἀνδρὶ,ἀνήρ,n-s---md-,OBJ
Leuven|0041-001|224|23,23,δοκεῖ,δοκέω,v3spia---,ATR
Leuven|0041-001|224|24,24,ἐνησυχάσαι,ἐνησυχάζω,v--ana---,OBJ
Leuven|0041-001|224|25,25,.,.,u--------,AuxK
"""""",26,[0],"""""","""""",PRED
