@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|8|1,1,Θράσων,Θράσων,n-s---mn-,SBJ
Leuven|0041-001|8|2,2,ἐμπορεύεται,ἐμπορεύομαι,v3spie---,PRED_CO
Leuven|0041-001|8|3,3,μὲν,μέν,d--------,AuxY
Leuven|0041-001|8|4,4,τὸν,ὁ,l-s---ma-,ATR
Leuven|0041-001|8|5,5,Πόντον,Πόντος,n-s---ma-,OBJ
Leuven|0041-001|8|6,6,",",",",u--------,AuxX
Leuven|0041-001|8|7,7,χρηστὸς,χρηστός,a-s---mn-,PNOM
Leuven|0041-001|8|8,8,δὲ,δέ,d--------,COORD
Leuven|0041-001|8|9,9,μᾶλλον,μάλα,d-------c,ADV
Leuven|0041-001|8|10,10,ἢ,ἤ,c--------,AuxC
Leuven|0041-001|8|11,11,κατὰ,κατά,r--------,AuxP
Leuven|0041-001|8|12,12,τὴν,ὁ,l-s---fa-,ATR
Leuven|0041-001|8|13,13,ἐπιτήδευσιν,ἐπιτήδευσις,n-s---fa-,ADV
Leuven|0041-001|8|14,14,εἶναί,εἰμί,v--pna---,OBJ
Leuven|0041-001|8|15,15,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|0041-001|8|16,16,δοκεῖ,δοκέω,v3spia---,PRED_CO
Leuven|0041-001|8|17,17,.,.,u--------,AuxK
"""""",18,[0],"""""","""""",PRED
