@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|109|1,1,οὕτω,οὕτως,d--------,ADV
Leuven|0041-001|109|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0041-001|109|3,3,καὶ,καί,d--------,AuxZ
Leuven|0041-001|109|4,4,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|109|5,5,ἀποδωσόντων,ἀποδίδωμι,v-pfpamg-,OBJ
Leuven|0041-001|109|6,6,ἐπιτεύξῃ,ἐπιτυγχάνω,v2sfim---,PRED_CO
Leuven|0041-001|109|7,7,εἴτε,εἴτε,c--------,AuxC
Leuven|0041-001|109|8,8,σὺ,σύ,p2s---cn-,SBJ
Leuven|0041-001|109|9,9,μὴ,μή,d--------,AuxZ
Leuven|0041-001|109|10,10,γράφων,γράφω,v-sppamn-,ADV
Leuven|0041-001|109|11,11,",",",",u--------,COORD
Leuven|0041-001|109|12,12,φύλαξαι,φυλάσσω,v2samm---,PRED
Leuven|0041-001|109|13,13,καὶ,καί,d--------,AuxZ
Leuven|0041-001|109|14,14,τοῦτο,οὗτος,p-s---na-,OBJ
Leuven|0041-001|109|15,15,.,.,u--------,AuxK
"""""",16,[0],"""""","""""",PRED
