@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|55|1,1,ὡς,ὡς,c--------,AuxC
Leuven|0041-001|55|2,2,δὲ,δέ,d--------,AuxY
Leuven|0041-001|55|3,3,ἀνήχθημεν,ἀνάγω,v1paip---,ADV
Leuven|0041-001|55|4,4,",",",",u--------,AuxX
Leuven|0041-001|55|5,5,ἕως,ἕως,c--------,AuxC
Leuven|0041-001|55|6,6,μὲν,μέν,d--------,AuxY
Leuven|0041-001|55|7,7,Σηλυμβρίαν,Σηλυμβρίη,n-s---fa-,OBJ
Leuven|0041-001|55|8,8,παραλλάξαι,παραλλάσσω,v--ana---,ADV
Leuven|0041-001|55|9,9,",",",",u--------,AuxX
Leuven|0041-001|55|10,10,κατεγελώμην,καταγελάω,v1siie---,PRED
Leuven|0041-001|55|11,11,ἐφ’,ἐπί,r--------,AuxP
Leuven|0041-001|55|12,12,οἷς,ὅς,p-p---nd-,OBJ
Leuven|0041-001|55|13,13,προεῖπον,προλέγω,v1saia---,ATR
Leuven|0041-001|55|14,14,",",",",u--------,AuxX
Leuven|0041-001|55|15,15,εὐχόμενός,εὔχομαι,v-sppemn-,ADV
Leuven|0041-001|55|16,16,γε,γε,d--------,AuxZ
Leuven|0041-001|55|17,17,καὶ,καί,d--------,AuxZ
Leuven|0041-001|55|18,18,μέχρι,μέχρι,d--------,AuxP
Leuven|0041-001|55|19,19,τῆς,ὁ,l-s---fg-,ATR
Leuven|0041-001|55|20,20,ἀποβάσεως,ἀπόβασις,n-s---fg-,ADV
Leuven|0041-001|55|21,21,γελᾶσθαι,γελάω,v--pne---,OBJ
Leuven|0041-001|55|22,22,·,·,u--------,AuxK
"""""",23,[0],"""""","""""",PRED
