@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|18|1,1,καὶ,καί,c--------,AuxY
Leuven|0041-001|18|2,2,τὸ,ὁ,l-s---na-,ATR
Leuven|0041-001|18|3,3,μὲν,μέν,d--------,AuxY
Leuven|0041-001|18|4,4,πρῶτον,πρῶτος,a-s---na-,ADV
Leuven|0041-001|18|5,5,μετά,μετά,r--------,AuxP
Leuven|0041-001|18|6,6,τινος,τις,p-s---cg-,ADV
Leuven|0041-001|18|7,7,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|18|8,8,στρατηγῶν,στρατηγός,n-p---mg-,ATR
Leuven|0041-001|18|9,9,ἦν,εἰμί,v3siia---,PRED
Leuven|0041-001|18|10,10,οὐδὲν,οὐδείς,p-s---na-,OBJ
Leuven|0041-001|18|11,11,πολυπραγμονῶν,πολυπραγμονέω,v-sppamn-,ADV
Leuven|0041-001|18|12,12,ὅ,ὅς,p-s---na-,OBJ
Leuven|0041-001|18|13,13,τι,τις,p-s---na-,ATR
Leuven|0041-001|18|14,14,μὴ,μή,d--------,AuxZ
Leuven|0041-001|18|15,15,στρατιώτην,στρατιώτης,n-s---ma-,SBJ
Leuven|0041-001|18|16,16,ἐχρῆν,χρή,v3siia---,ATR
Leuven|0041-001|18|17,17,",",",",u--------,AuxX
Leuven|0041-001|18|18,18,καίπερ,καίπερ,d--------,AuxZ
Leuven|0041-001|18|19,19,εἷς,εἷς,m-s---mn-,PNOM
Leuven|0041-001|18|20,20,ὢν,εἰμί,v-sppamn-,ADV
Leuven|0041-001|18|21,21,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|18|22,22,Κύρῳ,Κῦρος,n-s---md-,ADV
Leuven|0041-001|18|23,23,τιμίων,τίμιος,a-p---mg-,ATR
Leuven|0041-001|18|24,24,·,·,u--------,AuxK
"""""",25,[0],"""""","""""",PRED
