,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
0,Ἀνθρωπος,,ἄνθρωπος,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
1,Ἀλέξιδος,,,Ἄλεξις,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
2,Τιμόκρατες,Τιμοκράτης,,,,,,,,,,,,,,,,,,,,n-s---mv-,,,,,,,
3,τἀπιτήδει᾽,τὰ ἐπιτήδεια,ἐπιτήδειος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
4,ἦν,  ,,,εἰμί,,,,,,,,,,,,,,,,,v1siia---,v3siia---,,,,,,
5,προειρημένοις,,,,προλέγω,,,,,,,,,,,,,,,,,v-prpemd-,v-prpend-,,,,,,
6,διαβοήτων,,διαβόητος,,,,,,,,,,,,,,,,,,,a-p---mg-,,,,,,,
7,ἡδονῆς,,ἡδονή,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
8,ἀφροδισίων,ἀφροδίσιος,,,,,,,,,,,,,,,,,,,,a-p---fg-,a-p---ng-,,,,,,
9,ἀγρίου,,ἄγριος,,,,,,,,,,,,,,,,,,,a-s---mg-,,,,,,,
10,Ἀρετὴν,ἀρετή,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
11,δαιδαλεόδμοις,δαιδαλέοδμος,,,,,,,,,,,,,,,,,,,,a-p---nd-,,,,,,,
12,ξανθῶν,,ξανθός,,,,,,,,,,,,,,,,,,,a-p---ng-,,,,,,,
13,μελίτων,μέλι,,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
14,Κιθαριστῇ,κιθαριστής,,,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
15,κοινῶς,κοινός,,,,,,,,,,,,,,,,,,,,a--------,d--------,,,,,,
16,προπετῶς,προπετής,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
17,θεῶν,θέα,θέος,,,,,,,,,,,,,,,,,,,n-p---fg-,n-p---mg-,,,,,,
18,μεγίστους,μέγας,,,,,,,,,,,,,,,,,,,,a-p---mas,,,,,,,
19,οὐδὲν,  ,οὐδείς,,,,,,,,,,,,,,,,,,,a-s---na-,a-s---nn-,p-s---na-,p-s---nn-,,,,
20,ἀλκιμώτατος,,ἄλκιμος,,,,,,,,,,,,,,,,,,,a-s---mns,,,,,,,
21,ἀσθενεστάτου,,ἀσθενής,,,,,,,,,,,,,,,,,,,a-s---mgs,,,,,,,
22,συνεποδίσθη,συμποδίζω,,,,,,,,,,,,,,,,,,,,v3saip---,,,,,,,
23,ὅτ᾽,ὅτε,ὅτι,,,,,,,,,,,,,,,,,,,c--------,,,,,,,
24,ἀρετᾷ,ἀρετάω,,,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
25,ὠκύτατόν,ὠκύς,,,,,,,,,,,,,,,,,,,,a-s---mas,,,,,,,
26,ζωάγρι᾽,ζωάγρια,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
