Unnamed: 0,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
21415,στρατηγίαν,στρατηγία,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
20922,στρατηγίου,,στρατήγιον,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
24838,στρατηγεῖν,στρατηγέω,,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
21668,στρατηγούς,στρατηγός,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
21372,στρατηγοὶ,στρατηγός,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
21654,στρατηγοὺς,στρατηγός,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
21781,στρατηγός,στρατηγός,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
6244,στρατηγὶς,στρατηγίς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
10825,στρατηγὸν,  ,στρατηγός,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
11596,στρατηγὸς,  ,στρατηγός,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
25247,στρατηγῶν,στρατηγέω,,,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10809,στρατηλάτεε,στρατηλατέω,,,,,,,,,,,,,,,,,,,,v2spma---,,,,,,,
11436,στρατηλατέειν,στρατηλατέω,,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
15104,στρατιά,  ,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
22431,στρατιάν,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
10071,στρατιήν,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
22471,στρατιωτίδων,,στρατιῶτις,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
25008,στρατιωτικῶς,στρατιωτικός,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
18201,στρατιωτῶν,στρατιώτης,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
21543,στρατιώταις,στρατιώτης,,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
24907,στρατιὰ,στρατιά,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
22412,στρατιὰν,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
10026,στρατιὴν,  ,,στρατιά,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
6661,στρατιᾶς,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
16101,στρατιᾷ,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
10114,στρατιῆς,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
10093,στρατιῇ,,στρατιά,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
22494,στρατοπέδῳ,,στρατόπεδον,,,,,,,,,,,,,,,,,,,n-s---nd-,,,,,,,
2400,στρατοπεδείαν,στρατοπεδεία,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
13906,στρατοπεδευομένοισι,,στρατοπεδεύω,,,,,,,,,,,,,,,,,,,v-pppemd-,,,,,,,
8966,στρατοπεδευσάμενος,,στρατοπεδεύω,,,,,,,,,,,,,,,,,,,v-sapmmn-,,,,,,,
22314,στρατοπεδεύονται,,στρατοπεδεύω,,,,,,,,,,,,,,,,,,,v3ppie---,,,,,,,
20415,στρατοπεδεύσας,,στρατοπεδεύω,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
8054,στρατοῦ,στρατός,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
10873,στρατόν,  ,στρατός,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
21647,στρατόπεδα,στρατόπεδον,,,,,,,,,,,,,,,,,,,,n-p---na-,n-p---nn-,,,,,,
8936,στρατόπεδον,  ,,στρατόπεδον,,,,,,,,,,,,,,,,,,n-s---na-,n-s---nn-,,,,,,
16950,στρατὸν,,στρατός,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
22324,στρεπτὸν,στρεπτόν,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
11614,στρογγύλῃσι,  ,στρογγύλος,,,,,,,,,,,,,,,,,,,a-p---fd-,,,,,,,
11545,στρουθοὺς,στρουθός,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
276,στρουθόν,στρουθός,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,στρουθὸν,στρουθός,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
1006,στρωμάτων,,στρῶμα,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
18930,στρωμνὰς,στρωμνή,,,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
1330,στρωμνὴν,στρωμνή,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
953,στρόφιον,,στρόφιον,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
2807,στρώματα,,στρῶμα,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
874,στρώματος,,στρῶμα,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
22175,στρώννυσι,στορέννυμι,,,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
3430,στρώσαντες,στορέννυμι,,,,,,,,,,,,,,,,,,,,v-papamn-,,,,,,,
872,στρώσας,στορέννυμι,,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
2588,στρῶσον,στορέννυμι,,,,,,,,,,,,,,,,,,,,v2sama---,,,,,,,
96,στυράκων,στύραξ,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
1190,στωικός,στωικός,,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
16966,στωμυλίας,,στωμυλία,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
18489,στόλοι,στόλος,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
8204,στόλον,στόλος,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
17876,στόλους,στόλος,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
11766,στόλῳ,  ,στόλος,,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
1150,στόμα,στόμα,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
12706,στόμασι,στόμα,,,,,,,,,,,,,,,,,,,,n-p---nd-,,,,,,,
17728,στόματι,στόμα,,,,,,,,,,,,,,,,,,,,n-s---nd-,,,,,,,
