Forma,Lemma Corretto
ἐκτόπως,"['ἔκτοπος', 'ἔκτοπος']"
ἐκτὸς,['ἐκτός']
ἐκτῆσθαι,['κτάομαι']
ἐκυνήγουν,"['κυνηγέω', 'κυνηγέω']"
ἐκυνηγεῖτο,['κυνηγέω']
ἐκυρίευσαν,['κυριεύω']
ἐκφέρει,['ἐκφέρω']
ἐκφέρειν,['ἐκφέρω']
ἐκφήναντος,['ἐκφαίνω']
ἐκφανῶς,"['ἐκφανής', 'ἐκφανής']"
ἐκφερομένην,['ἐκφέρω']
ἐκφορέουσι,['ἐκφορέω']
ἐκφορὰν,"['  ', 'ἐκφορά']"
ἐκφυγόντα,['ἐκφεύγω']
ἐκφυγὼν,['ἐκφεύγω']
ἐκφυλλοφορήσασα,['ἐκφυλλοφορέω']
ἐκφύγοι,['ἐκφεύγω']
ἐκχεόμενον,['ἐκχέω']
ἐκόλουσε,['κολούω']
ἐκόπησαν,['κόπτω']
ἐκόσμησεν,['κοσμέω']
ἐκύρησε,['κυρέω']
ἐκύρωσε,['κυρόω']
ἐκώλυσαν,['κωλύω']
ἐκώλυσεν,['κωλύω']
ἐκώμαζε,['κωμάζω']
ἐκώμασε,['κωμάζω']
ἐλάμβανεν,"['λαμβάνω', 'λαμβάνω']"
ἐλάμβανον,['λαμβάνω']
ἐλάνθανε,['λανθάνω']
ἐλάσας,['ἐλαύνω']
ἐλάσασαι,['ἐλαύνω']
ἐλάσσω,['ἐλαχύς']
ἐλάσσων,['ἐλαχύς']
ἐλάττονας,['ἐλαχύς']
ἐλάττονος,['ἐλαχύς']
ἐλάττοσι,['ἐλαχύς']
ἐλάττους,['ἐλαχύς ']
ἐλάττω,['ἐλαχύς ']
ἐλάττων,['ἐλαχύς ']
ἐλάχιστα,['ἐλαχύς']
ἐλάχιστον,['ἐλαχύς']
ἐλέγετε,['λέγω']
ἐλέγετο,['λέγω']
ἐλέγξαι,['ἐλέγχω']
ἐλέγοντο,['λέγω']
ἐλέγχειν,['ἐλέγχω']
ἐλέγχου,['ἔλεγχος']
ἐλέγχους,['ἔλεγχος']
ἐλέγχουσιν,['ἐλέγχω']
