form,lemmi_originari,lemmi_dizionario,match_ratio
οὐδένα,['οὐδείς'],['οὐδείς'],105/105
πώποτε,['πώποτε'],['πώποτε'],68/68
τῶν,"['ὁ', 'ὅς']",['ὁ'],9766/9803
",","['punc1', ',', 'ἒ', '·']",[],0/37569
ἄνδρες,['ἀνήρ'],['ἀνήρ'],548/548
Ἀθηναῖοι,['Ἀθηναῖος'],['Ἀθηναῖος'],425/425
οὔ,"['οὐ', 'οὔτε', 'οὐκ', 'οὔ']",['οὐ'],785/956
-τε,"['τε', '-τε', 'οὔτε']",['τε'],1050/1054
γραφὴν,"['γραφής', 'γραφή']",['γραφή'],29/34
-τ᾽,"['τε', 'οὔτε', '-τε']",['τε'],112/118
ἐν,"['ἐν', 'εἰς']",['ἐν'],4360/4757
εὐθύναις,['εὔθυνα'],['εὔθυνα'],3/3
ἀλλ᾽,"['ἀλλά', 'ἀλλ᾽']",['ἀλλά'],601/603
ὡς,"['ὡς', 'ὥς']",['ὡς'],3086/3087
ἔγωγε,['ἐγώ'],['ἐγώ'],65/65
νομίζω,['νομίζω'],['νομίζω'],43/43
ἐμαυτὸν,['ἐμαυτοῦ'],['ἐμαυτοῦ'],37/37
πρὸς,['πρός'],['πρός'],3331/3331
τούτων,['οὗτος'],['οὗτος'],1120/1120
ὁρῶν,['ὁράω'],['ὁράω'],85/85
δὲ,"['δέ', 'δὲ', 'οὐδέ']",['δέ'],12696/12742
τήν,"['ὁ', 'ὅς']",['ὁ'],166/168
τε,['τε'],['τε'],3621/3621
πόλιν,['πόλις'],['πόλις'],658/658
μεγάλα,['μέγας'],['μέγας'],68/68
τουτουὶ,['οὗτος'],['οὗτος'],19/19
παρὰ,"['παρά', 'πηρά']",['παρά'],1031/1033
τοὺς,"['ὁ', 'ὅ', 'ὅς']",['ὁ'],5004/5018
νόμους,['νόμος'],['νόμος'],148/148
καὶ,"['καί', 'καὶ']",['καί'],27260/27295
αὐτὸς,['αὐτός'],['αὐτός'],611/611
ἰδίᾳ,"['ἴδιος', 'ἰδίᾳ']",['ἴδιος'],73/74
(,"['punc1', '(', '̔', '（']",[],0/303
τρόπον,['τρόπος'],['τρόπος'],190/190
προϊόντος,"['πρόειμι1', 'πρόειμι2']",['πρόειμι'],0/17
τοῦ,"['ὁ', 'ὅς', 'ὀ', 'ὁς', 'τις', 'τὁ']",['ὁ'],4457/4491
λόγου,"['λόγος', 'λογόω']",['λόγος'],89/90
),"['punc1', ')', '̓', '）']",[],0/304
ἕν,['εἷς'],['εἷς'],18/18
τι,['τις'],['τις'],1107/1107
αἰσχίστων,['αἰσχρός'],['αἰσχρός'],2/2
εἶναι,['εἰμί'],['εἰμί'],1868/1868
μὴ,"['μή', 'μὴ']",['μή'],0/1918
τῇ,"['ὁ', 'ὅς', 'τῇ', 'ὁς']",['ὁ'],2173/2200
πόλει,['πόλις'],['πόλις'],325/325
τοῖς,['ὁ'],['ὁ'],3813/3813
νόμοις,['νόμος'],['νόμος'],49/49
ὑμῖν,['σύ'],['σύ'],599/599
ἐμαυτῷ,['ἐμαυτοῦ'],['ἐμαυτοῦ'],29/29
:,"['punc1', 'ἒ']",[],0/3810
εἰδὼς,"['οἶδα', 'εἰδοί']","[' οἶδα', 'οἶδα']",54/55
δ᾽,"['δέ', 'δ᾽']",['δέ'],2160/2167
αὐτὸν,['αὐτός'],['αὐτός'],1015/1015
ὄντα,"['εἰμί', 'εἴμι', 'ὄντα']",['εἰμί'],233/238
οἷς,['ὅς'],['ὅς'],378/378
πρότερον,['πρότερος'],['πρότερος'],364/364
ἀναγιγνώσκοντος,['ἀναγιγνώσκω'],['ἀναγιγνώσκω'],2/2
αὐτῷ,['αὐτός'],['αὐτός'],1129/1129
τὴν,"['ὁ', 'ὅς']",['ὁ'],8399/8410
.,"['punc1', 'ἒ', '.', 'punct1']",['.'],1090/16420
γὰρ,['γάρ'],['γάρ'],3667/3667
πᾶσιν,"['πᾶς', 'πάν', 'πᾶσις']",['πᾶς'],102/106
τίσι,['τις'],['τις'],13/13
δεύτερον,['δεύτερος'],['δεύτερος'],78/78
ἀπεῖπε,['ἀπεῖπον'],['ἀπολέγω'],0/3
λέγειν,"['λέγω3', 'λέγω1', 'λέγω2', 'λέγω']",['λέγω'],2/317
;,"['punc1', ';']",[';'],116/1179
ἢ,"['ἤ1', 'ἢ', 'ἤ', 'ἤ2']",['ἤ'],23/2081
τὰς,"['ὁ', 'ὅς']",['ὁ'],2748/2749
στρατείας,['στρατεία'],['στρατεία'],53/53
φησί,['φημί'],['φημί'],57/57
ἂν,"['ἄν1', 'ἐάν', 'ἄν2', 'ἄν', 'ἀν', 'εἄν']","['ἄν', 'ἐάν']",508/2083
δίκαια,['δίκαιος'],['δίκαιος'],72/72
λέγων,"['λέγω3', 'λέγω2', 'λέγω']",['λέγω'],4/145
τί,"['τις', 'τίς']",['τις'],375/403
δή,['δή'],['δή'],128/128
ποτε,['ποτέ'],['ποτέ'],166/166
ὑπὲρ,['ὑπέρ'],['ὑπέρ'],607/607
τὰ,"['ὁ', 'τίς', 'ὅς', 'ὃς', 'ὁς']",['ὁ'],3620/3661
διὰ,"['διά', 'διὰ']",['διά'],1552/1628
δυνατὸς,['δυνατός'],['δυνατός'],18/18
εἶ,"['εἰμί', 'εἶμι', 'εἰ']","['εἶμι', 'εἰμί', 'εἰ']",37/37
μηδὲ,['μηδέ'],['μηδέ'],51/51
συμβουλεύειν,['συμβουλεύω'],['συμβουλεύω'],13/13
βουλεύειν,['βουλεύω'],['βουλεύω'],7/7
τρίτον,['τρίτος'],['τρίτος'],49/49
διαλέγεται,['διαλέγω'],['διαλέγω'],7/7
φησίν,['φημί'],['φημί'],77/77
τὸν,"['ὁ', 'ὅς', 'ὁς', 'τὸν']",['ὁ'],5120/5147
τὸ,"['ὁ', 'ὅς']",['ὁ'],5590/5616
σῶμα,['σῶμα'],['σῶμα'],81/81
ἑαυτοῦ,['ἑαυτοῦ'],['ἑαυτοῦ'],212/212
ἐφ᾽,['ἐπί'],['ἐπί'],144/144
κοινὰ,['κοινός'],['κοινός'],33/33
τῆς,"['ὁ', 'ὅς']",['ὁ'],5759/5764
πόλεως,['πόλις'],['πόλις'],484/484
ῥᾳδίως,['ῥᾴδιος'],['ῥᾴδιος'],91/91
ἡγήσατο,"['ἡγέομαι', 'ἁγέομαι']",['ἡγέομαι'],18/26
τέταρτον,['τέταρτος'],['τέταρτος'],21/21
πατρῷα,['πατρῷος'],['πατρῷος'],13/13
ὧν,"['ὅς', 'οὖν', 'οὗν']",['ὅς'],838/840
γένηται,['γίγνομαι'],['γίγνομαι'],74/74
οἰκίαν,['οἰκία'],['οἰκία'],97/97
κακῶς,['κακός'],['κακός'],112/112
παραπλησίως,['παραπλήσιος'],['παραπλήσιος'],41/41
οὐκ,['οὐ'],['οὐ'],1854/1854
ἐδόκει,['δοκέω'],['δοκέω'],119/119
οἷόν,['οἷος'],['οἷος'],91/91
τ᾽,"['τε', 'σύ', 'τ᾽', 'τέ']",['τε'],101/105
τῷ,"['ὁ', 'τίς', 'ὅς', 'τις']",['ὁ'],2874/2910
μὲν,"['μέν', 'μὲν']",['μέν'],6762/6764
δημοσίᾳ,"['δημοσίᾳ', 'δημόσιος']",['δημόσιος'],10/27
χρηστόν,['χρηστός'],['χρηστός'],1/1
οὐ,"['οὐ', 'οὐκ', 'οὐδέ']",['οὐ'],2799/2821
-δ᾽,"['δέ', 'μηδέ', 'οὐδέ', '-δέ']",['δέ'],208/215
δεῖν,"['δεῖ', 'δέω1', 'δέω2', 'δέω']",['δέω'],16/165
λόγων,"['λόγος', 'λογός']",['λόγος'],76/77
βίου,"['βίος', 'βιός']",['βίος'],72/74
αἱ,['ὁ'],['ὁ'],451/451
τρόποις,['τρόπος'],['τρόπος'],10/10
πόλεις,"['πόλις', 'πόόλις', 'πολίς']",['πολίς'],1/262
δημοκρατούμεναι,['δημοκρατέομαι'],['δημοκρατέομαι'],1/1
ἀνδρὸς,['ἀνήρ'],['ἀνήρ'],86/86
κ-,['καί'],['καί'],355/355
πάνυ,['πάνυ'],['πάνυ'],170/170
ἁπλῶς,"['ἁπλῶς', 'ἁπλός', 'ἁπλόος', 'ἁπλώς']",['ἁπλόος'],1/44
ῥηθῇ,['ἐρῶ'],['λέγω'],0/1
λεγόμενα,['λέγω3'],['λέγω'],0/27
ἀκούουσι,['ἀκούω'],['ἀκούω'],10/10
ἀνθρώπου,['ἄνθρωπος'],['ἄνθρωπος'],61/61
καταγελάστως,['καταγέλαστος'],['καταγέλαστος'],2/2
κεχρημένου,['χράω2'],['χράω'],0/2
σώματι,['σῶμα'],['σῶμα'],34/34
αἰσχρῶς,['αἰσχρός'],['αἰσχρός'],24/24
πατρῴαν,['πατρῷος'],['πατρῷος'],16/16
λεχθῇ,['λέγω3'],['λέγω'],0/1
συνοίσειν,['συμφέρω'],['συμφέρω'],8/8
τούτους,['οὗτος'],['οὗτος'],304/304
ἐξείργει,['ἐξέργω'],['ἐξέργω'],1/1
ἀπὸ,['ἀπό'],['ἀπό'],864/864
δημηγορεῖν,['δημηγορέω'],['δημηγορέω'],14/14
ἐὰν,['ἐάν'],"['ἄν', 'ἐάν']",343/343
δέ,['δέ'],['δέ'],672/672
τις,['τις'],['τις'],879/879
ταῦτα,['οὗτος'],['οὗτος'],1419/1419
μόνον,"['μόνος', 'μόνον']",['μόνος'],415/445
λέγῃ,['λέγω3'],['λέγω'],0/12
ἀλλὰ,"['ἀλλά', 'ἀλλὰ']",['ἀλλά'],1233/1261
ἀσελγαίνῃ,['ἀσελγαίνω'],['ἀσελγαίνω'],1/1
τοιοῦτον,['τοιοῦτος'],['τοιοῦτος'],101/101
πόλις,"['πόλις', 'πόόλις']",['πόλις'],181/187
μέν,['μέν'],['μέν'],280/280
Ἀθηναίων,"['Ἀθήναιος', 'Ἀθήναιον', 'Ἀθηναῖος', 'Ἀθήναια']",['Ἀθηναῖος'],78/308
βουλόμενος,['βούλομαι'],['βούλομαι'],101/101
ἤδη,"['ἤδη', 'ἦδη', 'ἠδή']",['ἤδη'],549/553
κελεύει,['κελεύω'],['κελεύω'],47/47
περὶ,['περί'],['περί'],2760/2760
νῦν,['νῦν'],['νῦν'],822/822
ἐγὼ,['ἐγώ'],['ἐγώ'],742/742
κατὰ,"['κατά', 'κατὰ']",['κατά'],2220/2221
τοῦτον,['οὗτος'],['οὗτος'],415/415
πάλαι,"['πάλαι', 'πάλα']",['πάλαι'],92/93
ἔτι,['ἔτι'],['ἔτι'],838/838
μετὰ,"['μετά', 'μετὰ']",['μετά'],1223/1225
ὃ,"['ὅς', 'ὁ', 'ὁς']","['ὁ', 'ὅς']",301/305
οὗτος,['οὗτος'],['οὗτος'],428/428
ἐπαγκρατίασεν,['παγκρατιάζω'],['παγκρατιάζω'],1/1
καθ᾽,"['κατά', 'καθά']",['κατά'],198/199
ἐκκλησίαν,['ἐκκλησία'],['ἐκκλησία'],49/49
προσέταξεν,['προστάσσω'],['προστάσσω'],26/26
τιθεὶς,['τίθημι'],['τίθημι'],6/6
εἰ,['εἰ'],['εἰ'],1349/1349
ποθεν,['ποθεν'],['ποθέν'],0/7
οὕτω,['οὕτως'],['οὕτως'],471/471
-δὲ,"['δέ', 'μηδέ', '-δέ', 'οὐδέ', 'οδέ', 'δὲ']",['δέ'],605/620
βουλεύεσθαι,['βουλεύω'],['βουλεύω'],31/31
ἡμᾶς,"['ἐγώ', 'ἔγω']",['ἐγώ'],195/196
πραγμάτων,['πρᾶγμα'],['πρᾶγμα'],191/191
ἔστι,['εἰμί'],['εἰμί'],224/224
οὐδὲν,['οὐδείς'],['οὐδείς'],651/651
ζητεῖν,['ζητέω'],['ζητέω'],14/14
ἀνθρώπους,['ἄνθρωπος'],['ἄνθρωπος'],109/109
ταῖς,['ὁ'],['ὁ'],915/915
ὅτι,"['ὅτι2', 'ὅτι1', 'ὅστις', 'ὅτι', 'ὅτι3']",['ὅτι'],328/1655
δημοκρατουμένων,['δημοκρατέομαι'],['δημοκρατέομαι'],2/2
σώματα,['σῶμα'],['σῶμα'],43/43
πολιτείαν,['πολιτεία'],['πολιτεία'],97/97
οἱ,"['ὁ', 'ἕ', 'οὗ', 'ὀ']","['ὁ', 'ἕ']",3640/3663
σῴζουσι,['σώζω'],['σῴζω'],0/4
τυράννων,['τύραννος'],['τύραννος'],9/9
αἰσχύνονται,['αἰσχύνω'],['αἰσχύνω'],3/3
μόνως,"['μόνως', 'μόνος']",['μόνος'],1/9
οὕτως,['οὕτως'],['οὕτως'],522/522
ἀναγνώσεται,['ἀναγιγνώσκω'],['ἀναγιγνώσκω'],28/28
κειμένους,['κεῖμαι'],['κεῖμαι'],12/12
οὑτοσὶ,['οὗτος'],['οὗτος'],44/44
εἰσὶ,['εἰμί'],['εἰμί'],99/99
αὐτοῖς,['αὐτός'],['αὐτός'],1027/1027
ζῆν,"['ζάω', 'ζέω']",['ζάω'],65/71
αὐτοὶ,['αὐτός'],['αὐτός'],298/298
βούλονται,['βούλομαι'],['βούλομαι'],39/39
ἐάν,['ἐάν'],"['ἄν', 'ἐάν']",70/70
βουλῇ,"['βουλή', 'βουλεύς']",['βουλή'],48/50
χωρὶς,['χωρίς'],['χωρίς'],101/101
δὶς,['δίς'],['δίς'],22/22
αὐτοῦ,"['αὐτός', 'αὐτοῦ', 'αὐτοός']",['αὐτός'],829/877
αὐτῆς,['αὐτός'],['αὐτός'],300/300
τινά,['τις'],['τις'],18/18
μεταξὺ,['μεταξύ'],['μεταξύ'],66/66
περί,['περί'],['περί'],65/65
του,"['τις', 'ὁ']",['τις'],13/15
ἐκκλησίας,['ἐκκλησία'],['ἐκκλησία'],24/24
βουλῆς,['βουλή'],['βουλή'],64/64
μέχρι,['μέχρι'],['μέχρι'],223/223
πεντήκοντα,['πεντήκοντα'],['πεντήκοντα'],104/104
δραχμῶν,"['δραχμή', 'δραχμός']",['δραχμή'],9/10
ἐγγράφειν,['ἐγγράφω'],['ἐγγράφω'],2/2
πλέονος,['πλείων'],['πολύς'],0/7
ἄξιος,['ἄξιος'],['ἄξιος'],17/17
εἰς,['εἰς'],['εἰς'],3297/3297
βουλὴν,['βουλή'],['βουλή'],40/40
πρώτην,"['πρότερος', 'πρῶτος']",['πρῶτος'],24/50
ὅταν,['ὅταν'],['ὅταν'],226/226
ἐξίωσιν,['ἔξεστι'],['ἔξειμι'],0/1
καταγνωσθῇ,['καταγιγνώσκω'],['καταγιγνώσκω'],3/3
κρύβδην,['κρύβδην'],['κρύβδην'],5/5
ψηφιζομένων,['ψηφίζομαι'],['ψηφίζω'],0/1
