Unnamed: 0,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
620,Αλεκτρυόνα,Αλεκτρυών,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
11860,Αἰγέος,Αἰγέος,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8860,Αἰγέστου,Αἰγέστης,Αἴγεστος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8877,Αἰγέστῃ,Αἴγεστα,,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
8780,Αἰγέστῳ,Αἰγέστης,,Αἴγεστος,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
3016,Αἰγίνης,,Αἴγινα,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
980,Αἰγίνῃ,,Αἴγινα,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
11341,Αἰγαῖαι,Αἰγαῖαι,,,,,,,,,,,,,,,,,,,,n-p---fn-,,,,,,,
16719,Αἰγηΐδος,,Αἰγηίς,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
11339,Αἰγιρόεσσα,Αἰγιρόεσσα,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
20880,Αἰγοσθενεῖ,Αἰγοσθενεύς,,,,,,,,,,,,,,,,,,,,a-s---md-,,,,,,,
12401,Αἰγυπτίη,Αἰγύπτιος,,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
15266,Αἰγυπτίοις,  ,Αἰγύπτιος,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
1579,Αἰγυπτίου,,Αἰγύπτιος,,,,,,,,,,,,,,,,,,,a-s---ng-,,,,,,,
11093,Αἰγυπτίους,Αἰγύπτιος,,,,,,,,,,,,,,,,,,,,a-p---ma-,,,,,,,
12063,Αἰγυπτίῃσι,Αἰγύπτιος ,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
1183,Αἰγύπτου,  ,Αἴγυπτος,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
11170,Αἰγύπτῳ,Αἴγυπτος,,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
16872,Αἰγὸς,,,,Αἴξ,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
23355,Αἰγῇδος,Αἰγηίς,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
20345,Αἰγῦτιν,Αἰγῦτις,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
8082,Αἰζειοὶ,Αἰζειός,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
7994,Αἰζειοῦ,Αἰζειός,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
17884,Αἰθίοπας,Αἰθίοψ,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
25217,Αἰκουλάνῳ,Αἰκούλανον,,,,,,,,,,,,,,,,,,,,n-s---nd-,,,,,,,
9041,Αἰνείαν,,Αἰνείας,,,,,,,,,,,,,,,,,,,n-s---fa-,n-s---ma-,,,,,,
8888,Αἰνείαο,Αἰνείας,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8808,Αἰνείεω,Αἰνείας,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8809,Αἰνείης,Αἰνείας,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
8798,Αἰνείου,Αἰνείας,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8840,Αἰνειάδος,,Αἰνειάς,,,,,,,,,,,,,,,,,,,a-s---fg-,,,,,,,
19874,Αἰνιᾶνα,Αἰνιάν,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
22978,Αἰνιᾶνας,Αἰνιάν,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
6653,Αἰνιᾶνες,Αἰνιάν,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
4297,Αἰνιᾶσιν,Αἰνιάν,,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
3667,Αἰξωνέα,Αἰξωνεύς,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
22770,Αἰξωνέων,Αἰξωνεύς,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
9702,Αἰολέας,Αἰολεύς,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
13201,Αἰολέες,  ,Αἰολεύς,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
11345,Αἰολέων,,Αἰολεύς,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
22818,Αἰολίδας,Αἰολίς,,,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
11329,Αἰολίδες,Αἰολίς,,,,,,,,,,,,,,,,,,,,n-p---fn-,,,,,,,
22805,Αἰολίδος,Αἰολίς,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
22806,Αἰολὶς,Αἰολίς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
17072,Αἰσκυλίαις,Αἰσκυλία,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
25271,Αἰσκυλείας,Αἰσκύλειος,,,,,,,,,,,,,,,,,,,,a-p---fa-,,,,,,,
25274,Αἰσκύλειον,Αἰσκύλειος,,,,,,,,,,,,,,,,,,,,a-s---na-,,,,,,,
3042,Αἰσωπείᾳ,,Αἰσώπειος,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
20579,Αἰτωλίαν,Αἰτωλία,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
19856,Αἰτωλοί,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
20005,Αἰτωλούς,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
19741,Αἰτωλοὶ,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
19857,Αἰτωλοὺς,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
19947,Αἰτωλοῖς,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
426,Αἰτωλῶν,,Αἰτωλός,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
1547,Αἰόλῳ,Αἴολος,,,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
9000,Αἱμονίας,Αἱμονία,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
2698,Αἲξ,Αἴξ,,,,,,,,,,,,,,,,,,,,n-s---fn-,n-s---mn-,,,,,,
8871,Αἴγεσταν,Αἴγεστα,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
8865,Αἴγεστος,Αἴγεστος,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
13225,Αἴγυπτον,Αἴγυπτος,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
17448,Αἴγυπτος,Αἴγυπτος,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
18181,Αἴγων,Αἴγων,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
18179,Αἴγωνος,Αἴγων,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
1714,Αἴθραν,Αἴθρη,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
7701,Αἴλιοί,Αἴλιος,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
8828,Αἴνειαν,,Αἴνεια,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
19763,Αἴνης,Αἴνη,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
2631,Αἴξ,Αἴξ,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
9593,Αἶαν,Αἴας,,,,,,,,,,,,,,,,,,,,n-s---mv-,,,,,,,
2629,Αἶγα,Αἴξ,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
14212,Αὐγούστου,,Αὔγουστος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8578,Αὐεντίνῳ,,Αὐεντῖνος,,,,,,,,,,,,,,,,,,,n-s---nd-,,,,,,,
9412,Αὐεντῖνον,,Αὐεντῖνος,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
1852,Αὐλητρίδι,,αὐλητρίς,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
22917,Αὐλῶνα,Αὐλών,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
22883,Αὐλῶνος,Αὐλών,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
8447,Αὐρωνίσσους,Αὐρωνίσσοι,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
8629,Αὐσονίαν,Αὐσονία,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
8058,Αὐσόνιος,Αὐσόνιος,,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
8060,Αὐσόνων,Αὐσόνιος,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
760,Αὐτοκλέης,Αὐτοκλέης,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
25904,Αὐτοφραδάτην,Αὐτοφραδάτης,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
25902,Αὐτοφραδάτου,Αὐτοφραδάτης,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
2273,Αὔρας,,Αὔρας,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
8533,Αὔσονες,Αὐσόνιος,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
11434,Βάκτριον,Βάκτριον,,,,,,,,,,,,,,,,,,,,n-s---nn-,,,,,,,
7253,Βάκτροις,,Βάκτρος,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
19922,Βάκτρων,,Βάκτρος,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
2822,Βάραθρον,,βάραθρον,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
15436,Βάσσου,Βάσσος,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
9042,Βάτειαν,Βάτεια,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
24990,Βέσβιον,Βέσβιον,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
9730,Βήλου,  ,,Βῆλος,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
11761,Βίαντα,  ,Βίας,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
869,Βίοις,,βίος,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
1726,Βίου,,βίος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
107,Βίων,,,,,,βίος,,,,,,,,,,,,,,,n-p---mg-,n-s---mg-,,,,,,
25859,Βαβυλωνίας,Βαβυλωνία,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
12356,Βαβυλωνίη,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
12423,Βαβυλωνίην,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,,a-s---fa-,,,,,,,
10250,Βαβυλωνίης,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,,a-s---fg-,,,,,,,
22048,Βαβυλωνίοις,,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
11952,Βαβυλωνίου,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,,a-s---ng-,,,,,,,
14187,Βαβυλωνίους,,Βαβυλώνιος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
12289,Βαβυλώνιοι,  ,,Βαβυλώνιος,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
12005,Βαβυλὼν,Βαβυλών,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
12114,Βαβυλῶνα,  ,Βαβυλών,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
