@ref,@id,@form,@lemma,@postag
Leuven|0032-002|246|1,1,εἰ,εἰ,c--------
Leuven|0032-002|246|2,2,δέ,δέ,d--------
Leuven|0032-002|246|3,3,τι,τις,p-s---nn-
Leuven|0032-002|246|4,4,δόξειεν,δοκέω,v3saoa---
Leuven|0032-002|246|5,5,αὐτῷ,αὐτός,p-s---md-
Leuven|0032-002|246|6,6,σημαίνεσθαι,σημαίνω,v--pne---
Leuven|0032-002|246|7,7,παρὰ,παρά,r--------
Leuven|0032-002|246|8,8,τῶν,ὁ,l-p---mg-
Leuven|0032-002|246|9,9,θεῶν,θεός,n-p---mg-
Leuven|0032-002|246|10,10,",",",",u--------
Leuven|0032-002|246|11,11,ἧττον,ἥσσων,a-s---nac
Leuven|0032-002|246|12,12,ἂν,ἄν,d--------
Leuven|0032-002|246|13,13,ἐπείσθη,πείθω,v3saip---
Leuven|0032-002|246|14,14,παρὰ,παρά,r--------
Leuven|0032-002|246|15,15,τὰ,ὁ,l-p---na-
Leuven|0032-002|246|16,16,σημαινόμενα,σημαίνω,v-pppena-
Leuven|0032-002|246|17,17,ποιῆσαι,ποιέω,v--ana---
Leuven|0032-002|246|18,18,ἢ,ἤ,c--------
Leuven|0032-002|246|19,19,εἴ,εἰ,c--------
Leuven|0032-002|246|20,20,τις,τις,p-s---cn-
Leuven|0032-002|246|21,21,αὐτὸν,αὐτός,p-s---ma-
Leuven|0032-002|246|22,22,ἔπειθεν,πείθω,v3siia---
Leuven|0032-002|246|23,23,ὁδοῦ,ὁδός,n-s---fg-
Leuven|0032-002|246|24,24,λαβεῖν,λαμβάνω,v--ana---
Leuven|0032-002|246|25,25,ἡγεμόνα,ἡγεμών,n-s---ma-
Leuven|0032-002|246|26,26,τυφλὸν,τυφλός,a-s---ma-
Leuven|0032-002|246|27,27,καὶ,καί,c--------
Leuven|0032-002|246|28,28,μὴ,μή,d--------
Leuven|0032-002|246|29,29,εἰδότα,οἶδα,v-srpama-
Leuven|0032-002|246|30,30,τὴν,ὁ,l-s---fa-
Leuven|0032-002|246|31,31,ὁδὸν,ὁδός,n-s---fa-
Leuven|0032-002|246|32,32,ἀντὶ,ἀντί,r--------
Leuven|0032-002|246|33,33,βλέποντος,βλέπω,v-sppamg-
Leuven|0032-002|246|34,34,καὶ,καί,c--------
Leuven|0032-002|246|35,35,εἰδότος,οἶδα,v-srpamg-
Leuven|0032-002|246|36,36,·,·,u--------
"""""",37,[0],"""""",""""""
