@ref,@id,@form,@lemma,@postag
Leuven|0032-002|206|1,1,τοῦτο,οὗτος,p-s---na-
Leuven|0032-002|206|2,2,δὴ,δή,d--------
Leuven|0032-002|206|3,3,λέγειν,λέγω,v--pna---
Leuven|0032-002|206|4,4,αὐτόν,αὐτός,p-s---ma-
Leuven|0032-002|206|5,5,",",",",u--------
Leuven|0032-002|206|6,6,ὡς,ὡς,c--------
Leuven|0032-002|206|7,7,ὁ,ὁ,l-s---mn-
Leuven|0032-002|206|8,8,ποιητὴς,ποιητής,n-s---mn-
Leuven|0032-002|206|9,9,κελεύει,κελεύω,v3spia---
Leuven|0032-002|206|10,10,μηδενὸς,μηδείς,p-s---ng-
Leuven|0032-002|206|11,11,ἔργου,ἔργον,n-s---ng-
Leuven|0032-002|206|12,12,μήτ’,μήτε,c--------
Leuven|0032-002|206|13,13,ἀδίκου,ἄδικος,a-s---ng-
Leuven|0032-002|206|14,14,μήτ’,μήτε,c--------
Leuven|0032-002|206|15,15,αἰσχροῦ,αἰσχρός,a-s---ng-
Leuven|0032-002|206|16,16,ἀπέχεσθαι,ἀπέχω,v--pne---
Leuven|0032-002|206|17,17,",",",",u--------
Leuven|0032-002|206|18,18,ἀλλὰ,ἀλλά,c--------
Leuven|0032-002|206|19,19,καὶ,καί,d--------
Leuven|0032-002|206|20,20,ταῦτα,οὗτος,p-p---na-
Leuven|0032-002|206|21,21,ποιεῖν,ποιέω,v--pna---
Leuven|0032-002|206|22,22,ἐπὶ,ἐπί,r--------
Leuven|0032-002|206|23,23,τῷ,ὁ,l-s---nd-
Leuven|0032-002|206|24,24,κέρδει,κέρδος,n-s---nd-
Leuven|0032-002|206|25,25,.,.,u--------
"""""",26,[0],"""""",""""""
