@ref,@id,@form,@lemma,@postag
Leuven|0032-002|207|1,1,Σωκράτης,Σωκράτης,n-s---mn-
Leuven|0032-002|207|2,2,δ’,δέ,d--------
Leuven|0032-002|207|3,3,ἐπεὶ,ἐπεί,c--------
Leuven|0032-002|207|4,4,διομολογήσαιτο,διομολογέω,v3saom---
Leuven|0032-002|207|5,5,τὸ,ὁ,l-s---na-
Leuven|0032-002|207|6,6,μὲν,μέν,d--------
Leuven|0032-002|207|7,7,ἐργάτην,ἐργάτης,n-s---ma-
Leuven|0032-002|207|8,8,εἶναι,εἰμί,v--pna---
Leuven|0032-002|207|9,9,ὠφέλιμόν,ὠφέλιμος,a-s---na-
Leuven|0032-002|207|10,10,τε,τε,c--------
Leuven|0032-002|207|11,11,ἀνθρώπῳ,ἄνθρωπος,n-s---md-
Leuven|0032-002|207|12,12,καὶ,καί,c--------
Leuven|0032-002|207|13,13,ἀγαθὸν,ἀγαθός,a-s---na-
Leuven|0032-002|207|14,14,εἶναι,εἰμί,v--pna---
Leuven|0032-002|207|15,15,",",",",u--------
Leuven|0032-002|207|16,16,τὸ,ὁ,l-s---na-
Leuven|0032-002|207|17,17,δὲ,δέ,d--------
Leuven|0032-002|207|18,18,ἀργὸν,ἀργός1,a-s---ma-
Leuven|0032-002|207|19,19,βλαβερόν,βλαβερός,a-s---na-
Leuven|0032-002|207|20,20,τε,τε,c--------
Leuven|0032-002|207|21,21,καὶ,καί,c--------
Leuven|0032-002|207|22,22,κακόν,κακός,a-s---na-
Leuven|0032-002|207|23,23,",",",",u--------
Leuven|0032-002|207|24,24,καὶ,καί,c--------
Leuven|0032-002|207|25,25,τὸ,ὁ,l-s---na-
Leuven|0032-002|207|26,26,μὲν,μέν,d--------
Leuven|0032-002|207|27,27,ἐργάζεσθαι,ἐργάζομαι,v--pne---
Leuven|0032-002|207|28,28,ἀγαθόν,ἀγαθός,a-s---na-
Leuven|0032-002|207|29,29,",",",",u--------
Leuven|0032-002|207|30,30,τὸ,ὁ,l-s---na-
Leuven|0032-002|207|31,31,δ’,δέ,d--------
Leuven|0032-002|207|32,32,ἀργεῖν,ἀργέω,v--pna---
Leuven|0032-002|207|33,33,κακόν,κακός,a-s---na-
Leuven|0032-002|207|34,34,",",",",u--------
Leuven|0032-002|207|35,35,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|207|36,36,μὲν,μέν,d--------
Leuven|0032-002|207|37,37,ἀγαθόν,ἀγαθός,a-s---na-
Leuven|0032-002|207|38,38,τι,τις,p-s---na-
Leuven|0032-002|207|39,39,ποιοῦντας,ποιέω,v-pppama-
Leuven|0032-002|207|40,40,ἐργάζεσθαί,ἐργάζομαι,v--pne---
Leuven|0032-002|207|41,41,τε,τε,c--------
Leuven|0032-002|207|42,42,ἔφη,φημί,v3siia---
Leuven|0032-002|207|43,43,καὶ,καί,c--------
Leuven|0032-002|207|44,44,ἐργάτας,ἐργάτης,n-p---ma-
Leuven|0032-002|207|45,45,ἀγαθοὺς,ἀγαθός,a-p---ma-
Leuven|0032-002|207|46,46,εἶναι,εἰμί,v--pna---
Leuven|0032-002|207|47,47,",",",",u--------
Leuven|0032-002|207|48,48,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|207|49,49,δὲ,δέ,d--------
Leuven|0032-002|207|50,50,κυβεύοντας,κυβεύω,v-pppama-
Leuven|0032-002|207|51,51,ἤ,ἤ,c--------
Leuven|0032-002|207|52,52,τι,τις,p-s---na-
Leuven|0032-002|207|53,53,ἄλλο,ἄλλος,p-s---na-
Leuven|0032-002|207|54,54,πονηρὸν,πονηρός,a-s---na-
Leuven|0032-002|207|55,55,καὶ,καί,c--------
Leuven|0032-002|207|56,56,ἐπιζήμιον,ἐπιζήμιος,a-s---na-
Leuven|0032-002|207|57,57,ποιοῦντας,ποιέω,v-pppama-
Leuven|0032-002|207|58,58,ἀργοὺς,ἀργός,a-p---ma-
Leuven|0032-002|207|59,59,ἀπεκάλει,ἀποκαλέω,v3siia---
Leuven|0032-002|207|60,60,.,.,u--------
"""""",61,[1],"""""",""""""
"""""",62,[2],"""""",""""""
"""""",63,[3],"""""",""""""
"""""",64,[5],"""""",""""""
