@ref,@id,@form,@lemma,@postag
Leuven|0032-002|147|1,1,μηδ’,μηδέ,d--------
Leuven|0032-002|147|2,2,ἀποκρίνωμαι,ἀποκρίνω,v1spse---
Leuven|0032-002|147|3,3,οὖν,οὖν,d--------
Leuven|0032-002|147|4,4,",",",",u--------
Leuven|0032-002|147|5,5,ἔφη,φημί,v3siia---
Leuven|0032-002|147|6,6,",",",",u--------
Leuven|0032-002|147|7,7,ἄν,ἐάν,c--------
Leuven|0032-002|147|8,8,τίς,τις,p-s---cn-
Leuven|0032-002|147|9,9,με,ἐγώ,p1s---ca-
Leuven|0032-002|147|10,10,ἐρωτᾷ,ἐρωτάω,v3spia---
Leuven|0032-002|147|11,11,νέος,νέος,a-s---mn-
Leuven|0032-002|147|12,12,",",",",u--------
Leuven|0032-002|147|13,13,ἐὰν,ἐάν,c--------
Leuven|0032-002|147|14,14,εἰδῶ,οἶδα,v1srsa---
Leuven|0032-002|147|15,15,",",",",u--------
Leuven|0032-002|147|16,16,οἷον,οἷος,p-s---na-
Leuven|0032-002|147|17,17,ποῦ,ποῦ,d--------
Leuven|0032-002|147|18,18,οἰκεῖ,οἰκέω,v3spia---
Leuven|0032-002|147|19,19,Χαρικλῆς,Χαρικλῆς,n-s---mn-
Leuven|0032-002|147|20,20,ἢ,ἤ,c--------
Leuven|0032-002|147|21,21,ποῦ,ποῦ,d--------
Leuven|0032-002|147|22,22,ἐστι,εἰμί,v3spia---
Leuven|0032-002|147|23,23,Κριτίας,Κριτίας,n-s---mn-
Leuven|0032-002|147|24,24,;,;,u--------
"""""",25,[0],"""""",""""""
