@ref,@id,@form,@lemma,@postag
Leuven|0032-002|111|1,1,πάντα,πᾶς,a-p---nn-
Leuven|0032-002|111|2,2,μὲν,μέν,d--------
Leuven|0032-002|111|3,3,οὖν,οὖν,d--------
Leuven|0032-002|111|4,4,ἔμοιγε,ἐγώ,p1s---cd-
Leuven|0032-002|111|5,5,δοκεῖ,δοκέω,v3spia---
Leuven|0032-002|111|6,6,τὰ,ὁ,l-p---nn-
Leuven|0032-002|111|7,7,καλὰ,καλός,a-p---nn_
Leuven|0032-002|111|8,8,καὶ,καί,c--------
Leuven|0032-002|111|9,9,τἀγαθὰ,ἀγαθός,a-p---nn-
Leuven|0032-002|111|10,10,ἀσκητὰ,ἀσκητός,a-p---nn-
Leuven|0032-002|111|11,11,εἶναι,εἰμί,v--pna---
Leuven|0032-002|111|12,12,",",",",u--------
Leuven|0032-002|111|13,13,οὐχ,οὐ,d--------
Leuven|0032-002|111|14,14,ἥκιστα,ἦκα,a-p---nas
Leuven|0032-002|111|15,15,δὲ,δέ,d--------
Leuven|0032-002|111|16,16,σωφροσύνη,σωφροσύνη,n-s---fn-
Leuven|0032-002|111|17,17,.,.,u--------
Leuven|0032-002|111|18,18,.,.,u--------
"""""",19,[0],"""""",""""""
