@ref,@id,@form,@lemma,@postag
Leuven|0032-002|137|1,1,εἰ,εἰ,c--------
Leuven|0032-002|137|2,2,μὲν,μέν,d--------
Leuven|0032-002|137|3,3,γὰρ,γάρ,d--------
Leuven|0032-002|137|4,4,σὺν,σύν,r--------
Leuven|0032-002|137|5,5,τοῖς,ὁ,l-p---nd-
Leuven|0032-002|137|6,6,ὀρθῶς,ὀρθός,d--------
Leuven|0032-002|137|7,7,",",",",u--------
Leuven|0032-002|137|8,8,δῆλον,δῆλος,a-s---nn-
Leuven|0032-002|137|9,9,ὅτι,ὅτι,c--------
Leuven|0032-002|137|10,10,ἀφεκτέον,ἀφεκτέον,a-s---nn-
Leuven|0032-002|137|11,11,ἂν,ἄν,d--------
Leuven|0032-002|137|12,12,εἴη,εἰμί,v3spoa---
Leuven|0032-002|137|13,13,τοῦ,ὁ,l-s---ng-
Leuven|0032-002|137|14,14,ὀρθῶς,ὀρθός,d--------
Leuven|0032-002|137|15,15,λέγειν,λέγω,v--pna---
Leuven|0032-002|137|16,16,·,·,u--------
Leuven|0032-002|137|17,17,[0],"""""",""""""
Leuven|0032-002|137|18,18,[1],"""""",""""""
"""""",19,[2],"""""",""""""
