@ref,@id,@form,@lemma,@postag
Leuven|0032-002|195|1,1,ἀλλὰ,ἀλλά,c--------
Leuven|0032-002|195|2,2,Σωκράτης,Σωκράτης,n-s---mn-
Leuven|0032-002|195|3,3,γε,γε,d--------
Leuven|0032-002|195|4,4,",",",",u--------
Leuven|0032-002|195|5,5,ἔφη,φημί,v3siia---
Leuven|0032-002|195|6,6,ὁ,ὁ,l-s---mn-
Leuven|0032-002|195|7,7,κατήγορος,κατήγορος,n-s---mn-
Leuven|0032-002|195|8,8,",",",",u--------
Leuven|0032-002|195|9,9,οὐ,οὐ,d--------
Leuven|0032-002|195|10,10,μόνον,μόνον,d--------
Leuven|0032-002|195|11,11,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|12,12,πατέρας,πατήρ,n-p---ma-
Leuven|0032-002|195|13,13,ἀλλὰ,ἀλλά,c--------
Leuven|0032-002|195|14,14,καὶ,καί,d--------
Leuven|0032-002|195|15,15,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|16,16,ἄλλους,ἄλλος,p-p---ma-
Leuven|0032-002|195|17,17,συγγενεῖς,συγγενής,a-p---ma-
Leuven|0032-002|195|18,18,ἐποίει,ποιέω,v3siia---
Leuven|0032-002|195|19,19,ἐν,ἐν,r--------
Leuven|0032-002|195|20,20,ἀτιμίᾳ,ἀτιμία,n-s---fd-
Leuven|0032-002|195|21,21,εἶναι,εἰμί,v--pna---
Leuven|0032-002|195|22,22,παρὰ,παρά,r--------
Leuven|0032-002|195|23,23,τοῖς,ὁ,l-p---md-
Leuven|0032-002|195|24,24,ἑαυτῷ,ἑαυτοῦ,p-s---md-
Leuven|0032-002|195|25,25,συνοῦσι,σύνειμι,v-pppamd-
Leuven|0032-002|195|26,26,",",",",u--------
Leuven|0032-002|195|27,27,λέγων,λέγω,v-sppamn-
Leuven|0032-002|195|28,28,ὡς,ὡς,c--------
Leuven|0032-002|195|29,29,οὔτε,οὔτε,c--------
Leuven|0032-002|195|30,30,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|31,31,κάμνοντας,κάμνω,v-pppama-
Leuven|0032-002|195|32,32,οὔτε,οὔτε,c--------
Leuven|0032-002|195|33,33,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|34,34,δικαζομένους,δικάζω,v-pppema-
Leuven|0032-002|195|35,35,οἱ,ὁ,l-p---mn-
Leuven|0032-002|195|36,36,συγγενεῖς,συγγενής,a-p---mn-
Leuven|0032-002|195|37,37,ὠφελοῦσιν,ὠφελέω,v3ppia---
Leuven|0032-002|195|38,38,",",",",u--------
Leuven|0032-002|195|39,39,ἀλλὰ,ἀλλά,c--------
Leuven|0032-002|195|40,40,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|41,41,μὲν,μέν,d--------
Leuven|0032-002|195|42,42,οἱ,ὁ,l-p---mn-
Leuven|0032-002|195|43,43,ἰατροί,ἰατρός,n-p---mn-
Leuven|0032-002|195|44,44,",",",",u--------
Leuven|0032-002|195|45,45,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|195|46,46,δὲ,δέ,d--------
Leuven|0032-002|195|47,47,οἱ,ὁ,l-p---mn-
Leuven|0032-002|195|48,48,συνδικεῖν,συνδικέω,v--pna---
Leuven|0032-002|195|49,49,ἐπιστάμενοι,ἐπίσταμαι,v-pppemn-
Leuven|0032-002|195|50,50,.,.,u--------
Leuven|0032-002|195|51,51,[0],"""""",""""""
"""""",52,[1],"""""",""""""
