@ref,@id,@form,@lemma,@postag
Leuven|0032-002|136|1,1,ὅπως,ὅπως,c--------
Leuven|0032-002|136|2,2,δὲ,δέ,d--------
Leuven|0032-002|136|3,3,μὴ,μή,d--------
Leuven|0032-002|136|4,4,δι’,διά,r--------
Leuven|0032-002|136|5,5,ἄγνοιαν,ἄγνοια,n-s---fa-
Leuven|0032-002|136|6,6,λάθω,λανθάνω,v1sasa---
Leuven|0032-002|136|7,7,τι,τις,p-s---na-
Leuven|0032-002|136|8,8,παρανομήσας,παρανομέω,v-sapamn-
Leuven|0032-002|136|9,9,",",",",u--------
Leuven|0032-002|136|10,10,τοῦτο,οὗτος,p-s---na-
Leuven|0032-002|136|11,11,βούλομαι,βούλομαι,v1spie---
Leuven|0032-002|136|12,12,σαφῶς,σαφής,d--------
Leuven|0032-002|136|13,13,μαθεῖν,μανθάνω,v--ana---
Leuven|0032-002|136|14,14,παρ’,παρά,r--------
Leuven|0032-002|136|15,15,ὑμῶν,σύ,p2p---cg-
Leuven|0032-002|136|16,16,",",",",u--------
Leuven|0032-002|136|17,17,πότερον,πότερος,p-s---na-
Leuven|0032-002|136|18,18,τὴν,ὁ,l-s---fa-
Leuven|0032-002|136|19,19,τῶν,ὁ,l-p---mg-
Leuven|0032-002|136|20,20,λόγων,λόγος,n-p---mg-
Leuven|0032-002|136|21,21,τέχνην,τέχνη,n-s---fa-
Leuven|0032-002|136|22,22,σὺν,σύν,r--------
Leuven|0032-002|136|23,23,τοῖς,ὁ,l-p---nd-
Leuven|0032-002|136|24,24,ὀρθῶς,ὀρθός,d--------
Leuven|0032-002|136|25,25,λεγομένοις,λέγω,v-pppend-
Leuven|0032-002|136|26,26,εἶναι,εἰμί,v--pna---
Leuven|0032-002|136|27,27,νομίζοντες,νομίζω,v-pppamn-
Leuven|0032-002|136|28,28,ἢ,ἤ,c--------
Leuven|0032-002|136|29,29,σὺν,σύν,r--------
Leuven|0032-002|136|30,30,τοῖς,ὁ,l-p---nd-
Leuven|0032-002|136|31,31,μὴ,μή,d--------
Leuven|0032-002|136|32,32,ὀρθῶς,ὀρθός,d--------
Leuven|0032-002|136|33,33,ἀπέχεσθαι,ἀπέχω,v--pne---
Leuven|0032-002|136|34,34,κελεύετε,κελεύω,v2ppia---
Leuven|0032-002|136|35,35,αὐτῆς,αὐτός,p-s---fg-
Leuven|0032-002|136|36,36,.,.,u--------
"""""",37,[0],"""""",""""""
"""""",38,[1],"""""",""""""
