@ref,@id,@form,@lemma,@postag
Leuven|0032-002|102|1,1,αὐτὰρ,ἀτάρ,c--------
Leuven|0032-002|102|2,2,ἀνὴρ,ἀνήρ,n-s---mn-
Leuven|0032-002|102|3,3,ἀγαθὸς,ἀγαθός,a-s---mn-
Leuven|0032-002|102|4,4,τοτὲ,τοτέ,d--------
Leuven|0032-002|102|5,5,μὲν,μέν,d--------
Leuven|0032-002|102|6,6,κακός,κακός,a-s---mn-
Leuven|0032-002|102|7,7,",",",",u--------
Leuven|0032-002|102|8,8,ἄλλοτε,ἄλλοτε,d--------
Leuven|0032-002|102|9,9,δ’,δέ,d--------
Leuven|0032-002|102|10,10,ἐσθλός,ἐσθλός,a-s---mn-
Leuven|0032-002|102|11,11,.,.,u--------
"""""",12,[1],"""""",""""""
"""""",13,[2],"""""",""""""
