@ref,@id,@form,@lemma,@postag
Leuven|0032-002|45|1,1,αὐτὸς,αὐτός,p-s---mn-
Leuven|0032-002|45|2,2,δὲ,δέ,d--------
Leuven|0032-002|45|3,3,περὶ,περί,r--------
Leuven|0032-002|45|4,4,τῶν,ὁ,l-p---ng-
Leuven|0032-002|45|5,5,ἀνθρωπείων,ἀνθρώπειος,a-p---ng-
Leuven|0032-002|45|6,6,ἀεὶ,ἀεί,d--------
Leuven|0032-002|45|7,7,διελέγετο,διαλέγω,v3siie---
Leuven|0032-002|45|8,8,σκοπῶν,σκοπέω,v-sppamn-
Leuven|0032-002|45|9,9,τί,τίς,p-s---nn-
Leuven|0032-002|45|10,10,εὐσεβές,εὐσεβής,a-s---nn-
Leuven|0032-002|45|11,11,",",",",u--------
Leuven|0032-002|45|12,12,τί,τίς,p-s---nn-
Leuven|0032-002|45|13,13,ἀσεβές,ἀσεβής,a-s---nn-
Leuven|0032-002|45|14,14,",",",",u--------
Leuven|0032-002|45|15,15,τί,τίς,p-s---nn-
Leuven|0032-002|45|16,16,καλόν,καλός,a-s---nn-
Leuven|0032-002|45|17,17,",",",",u--------
Leuven|0032-002|45|18,18,τί,τίς,p-s---nn-
Leuven|0032-002|45|19,19,αἰσχρόν,αἰσχρός,a-s---nn-
Leuven|0032-002|45|20,20,",",",",u--------
Leuven|0032-002|45|21,21,τί,τίς,p-s---nn-
Leuven|0032-002|45|22,22,δίκαιον,δίκαιος,a-s---nn-
Leuven|0032-002|45|23,23,",",",",u--------
Leuven|0032-002|45|24,24,τί,τίς,p-s---nn-
Leuven|0032-002|45|25,25,ἄδικον,ἄδικος,a-s---nn-
Leuven|0032-002|45|26,26,",",",",u--------
Leuven|0032-002|45|27,27,τί,τίς,p-s---nn-
Leuven|0032-002|45|28,28,σωφροσύνη,σωφροσύνη,n-s---fn-
Leuven|0032-002|45|29,29,",",",",u--------
Leuven|0032-002|45|30,30,τί,τίς,p-s---nn-
Leuven|0032-002|45|31,31,μανία,μανία,n-s---fn-
Leuven|0032-002|45|32,32,",",",",u--------
Leuven|0032-002|45|33,33,τί,τίς,p-s---nn-
Leuven|0032-002|45|34,34,ἀνδρεία,ἀνδρεία,n-s---fn-
Leuven|0032-002|45|35,35,",",",",u--------
Leuven|0032-002|45|36,36,τί,τίς,p-s---nn-
Leuven|0032-002|45|37,37,δειλία,δειλία,n-s---fn-
Leuven|0032-002|45|38,38,",",",",u--------
Leuven|0032-002|45|39,39,τί,τίς,p-s---nn-
Leuven|0032-002|45|40,40,πόλις,πόλις,n-s---fn-
Leuven|0032-002|45|41,41,",",",",u--------
Leuven|0032-002|45|42,42,τί,τίς,p-s---nn-
Leuven|0032-002|45|43,43,πολιτικός,πολιτικός,a-s---mn-
Leuven|0032-002|45|44,44,",",",",u--------
Leuven|0032-002|45|45,45,τί,τίς,p-s---nn-
Leuven|0032-002|45|46,46,ἀρχὴ,ἀρχή,n-s---fn-
Leuven|0032-002|45|47,47,ἀνθρώπων,ἄνθρωπος,n-p---mg-
Leuven|0032-002|45|48,48,",",",",u--------
Leuven|0032-002|45|49,49,τί,τίς,p-s---nn-
Leuven|0032-002|45|50,50,ἀρχικὸς,ἀρχικός,a-s---mn-
Leuven|0032-002|45|51,51,ἀνθρώπων,ἄνθρωπος,n-p---mg-
Leuven|0032-002|45|52,52,",",",",u--------
Leuven|0032-002|45|53,53,καὶ,καί,c--------
Leuven|0032-002|45|54,54,περὶ,περί,r--------
Leuven|0032-002|45|55,55,τῶν,ὁ,l-p---ng-
Leuven|0032-002|45|56,56,ἄλλων,ἄλλος,p-p---ng-
Leuven|0032-002|45|57,57,",",",",u--------
Leuven|0032-002|45|58,58,ἃ,ὅς,p-p---na-
Leuven|0032-002|45|59,59,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|45|60,60,μὲν,μέν,d--------
Leuven|0032-002|45|61,61,εἰδότας,οἶδα,v-prpama-
Leuven|0032-002|45|62,62,ἡγεῖτο,ἡγέομαι,v3siie---
Leuven|0032-002|45|63,63,καλοὺς,καλός,a-p---ma-
Leuven|0032-002|45|64,64,κἀγαθοὺς,ἀγαθός,a-p---ma-
Leuven|0032-002|45|65,65,εἶναι,εἰμί,v--pna---
Leuven|0032-002|45|66,66,",",",",u--------
Leuven|0032-002|45|67,67,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|45|68,68,δ’,δέ,d--------
Leuven|0032-002|45|69,69,ἀγνοοῦντας,ἀγνοέω,v-pppama-
Leuven|0032-002|45|70,70,ἀνδραποδώδεις,ἀνδραποδώδης,a-p---ma-
Leuven|0032-002|45|71,71,ἂν,ἄν,d--------
Leuven|0032-002|45|72,72,δικαίως,δικαίως,d-------p
Leuven|0032-002|45|73,73,κεκλῆσθαι,καλέω,v--rne---
Leuven|0032-002|45|74,74,.,.,u--------
Leuven|0032-002|45|75,75,.,.,u--------
"""""",76,[2],"""""",""""""
"""""",77,[3],"""""",""""""
"""""",78,[4],"""""",""""""
"""""",79,[5],"""""",""""""
"""""",80,[6],"""""",""""""
"""""",81,[7],"""""",""""""
"""""",82,[8],"""""",""""""
"""""",83,[9],"""""",""""""
"""""",84,[10],"""""",""""""
"""""",85,[11],"""""",""""""
"""""",86,[12],"""""",""""""
"""""",87,[13],"""""",""""""
"""""",88,[14],"""""",""""""
"""""",89,[15],"""""",""""""
"""""",90,[16],"""""",""""""
