,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeneas.xml,6471,5087,4333,0.786,0.67
1,aesop1.xml,6307,4845,4034,0.768,0.64
2,charb1.xml,5509,4344,3465,0.789,0.629
3,chion.xml,4859,3870,2869,0.796,0.59
4,crit.xml,4200,3404,2482,0.81,0.591
5,epictetus.xml,6091,4735,3503,0.777,0.575
6,epicurus1.xml,1332,1072,779,0.805,0.585
7,genesis1.xml,9397,7741,6330,0.824,0.674
8,genesis2.xml,4340,3565,2793,0.821,0.644
9,genesis3.xml,3292,2566,2022,0.779,0.614
10,heron.xml,9234,7058,5651,0.764,0.612
11,iso.xml,423,348,240,0.823,0.567
12,julian.xml,1241,1025,787,0.826,0.634
13,longus.xml,574,455,363,0.793,0.632
14,lucian_lis.xml,1180,890,665,0.754,0.564
15,lucian_prometheus.xml,2065,1657,1239,0.802,0.6
16,lucian_symposion.xml,4790,3731,3183,0.779,0.665
17,lysias_or24.xml,1436,1170,836,0.815,0.582
18,paean.xml,5563,4484,3768,0.806,0.677
19,papyri.xml,10839,8406,6249,0.776,0.577
20,phlegon.xml,5025,3840,3338,0.764,0.664
21,procopius.xml,26366,21196,16998,0.804,0.645
22,pseudo-lucian_themule.xml,9736,7573,5982,0.778,0.614
23,pseudoplato_cleitophon.xml,1624,1265,925,0.779,0.57
24,sextus.xml,14184,11347,8083,0.8,0.57
25,theophr.xml,6828,5238,4547,0.767,0.666
26,xenmem.xml,23729,19256,14239,0.811,0.6
